"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test cases for TestLocalStore_Delete","32","TestLocalStore_Delete","","Mon Jun 15 11:56:07 UTC 2026","passed","Mon Jun 15 11:56:07 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/storage/TestLocalStore_Delete","TestLocalStore_Delete"
"","285","should display a ""Configure Multi-Factor Authentication"" modal","UserProfile","Mon Jun 15 11:58:17 UTC 2026","passed","Mon Jun 15 11:58:17 UTC 2026","","""Multi-Factor Authentication"" switch","",""
"","219","invokes handleFilterChange with eq:false when clicked and custom_member filter is on","AssetGroupEdit","Mon Jun 15 11:58:04 UTC 2026","passed","Mon Jun 15 11:58:04 UTC 2026","","Custom Member checkbox filter","",""
"Test cases for TestBuildErrorResponseInternalServerError","0","TestBuildErrorResponseInternalServerError","","Mon Jun 15 11:54:54 UTC 2026","passed","Mon Jun 15 11:54:54 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestBuildErrorResponseInternalServerError","TestBuildErrorResponseInternalServerError"
"Test cases for TestTextUnmarshalBool","0","TestTextUnmarshalBool","","Mon Jun 15 11:55:23 UTC 2026","passed","Mon Jun 15 11:55:23 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestTextUnmarshalBool","TestTextUnmarshalBool"
"","257","handles close event","ImportQueryDialog","Mon Jun 15 12:01:11 UTC 2026","passed","Mon Jun 15 12:01:11 UTC 2026","","","",""
"","245","toggles sort order when clicking sortable header","ObjectsAccordion","Mon Jun 15 11:59:14 UTC 2026","passed","Mon Jun 15 11:59:15 UTC 2026","","","",""
"Test cases for TestRewriter_Enter_AzureAttackPathsShortcut_ReplacesKinds","0","TestRewriter_Enter_AzureAttackPathsShortcut_ReplacesKinds","","Mon Jun 15 11:55:26 UTC 2026","passed","Mon Jun 15 11:55:26 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/queries/TestRewriter_Enter_AzureAttackPathsShortcut_ReplacesKinds","TestRewriter_Enter_AzureAttackPathsShortcut_ReplacesKinds"
"","18","does not render the tooltip icon when tooltipText prop is not passed","ColumnHeaders","Mon Jun 15 11:58:59 UTC 2026","passed","Mon Jun 15 11:58:59 UTC 2026","","SortableHeader with Tooltip","",""
"Test cases for TestManagementResource_ListPermissions_PredicateMismatchWithColumn","0","TestManagementResource_ListPermissions_PredicateMismatchWithColumn","","Mon Jun 15 11:55:26 UTC 2026","passed","Mon Jun 15 11:55:26 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_ListPermissions_PredicateMismatchWithColumn","TestManagementResource_ListPermissions_PredicateMismatchWithColumn"
"","0","returns true if value is null","searchParams","Mon Jun 15 11:59:43 UTC 2026","passed","Mon Jun 15 11:59:43 UTC 2026","","isEmptyParam","",""
"Test cases for TestCache_Reset","0","TestCache_Reset","","Mon Jun 15 11:55:47 UTC 2026","passed","Mon Jun 15 11:55:47 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/cache/TestCache_Reset","TestCache_Reset"
"","1876","renders correct search elements after keypresses","GraphView","Mon Jun 15 12:01:51 UTC 2026","passed","Mon Jun 15 12:01:53 UTC 2026","","","",""
"Test cases for TestWriteResponseWrapperWithPagination","0","TestWriteResponseWrapperWithPagination","","Mon Jun 15 11:54:54 UTC 2026","passed","Mon Jun 15 11:54:54 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestWriteResponseWrapperWithPagination","TestWriteResponseWrapperWithPagination"
"","14","sets autoDisplayTable to false if query type is relationship","useExploreTableAutoDisplay","Mon Jun 15 12:00:10 UTC 2026","passed","Mon Jun 15 12:00:10 UTC 2026","","","",""
"","17","function should return 1 when first param is larger, no matter the data type","Compare function for explore table sort","Mon Jun 15 11:59:07 UTC 2026","passed","Mon Jun 15 11:59:07 UTC 2026","","","",""
"","817","should render an update user form","UpdateUserDialog","Mon Jun 15 11:57:03 UTC 2026","passed","Mon Jun 15 11:57:04 UTC 2026","","","",""
"","63","Searching for custom node type with databaseId returns node properties","useFetchEntityInfo","Mon Jun 15 11:58:51 UTC 2026","passed","Mon Jun 15 11:58:51 UTC 2026","","","",""
"Test cases for TestResources_DeleteSavedQuery_DBError","0","TestResources_DeleteSavedQuery_DBError","","Mon Jun 15 11:55:20 UTC 2026","passed","Mon Jun 15 11:55:20 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_DeleteSavedQuery_DBError","TestResources_DeleteSavedQuery_DBError"
