"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test cases for TestWriteBinaryResponse","0","TestWriteBinaryResponse","","Wed Jul 01 19:46:51 UTC 2026","passed","Wed Jul 01 19:46:51 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestWriteBinaryResponse","TestWriteBinaryResponse"
"","4","announces a message with assertive priority","AnnouncementProvider","Wed Jul 01 19:51:14 UTC 2026","passed","Wed Jul 01 19:51:14 UTC 2026","","","",""
"Test cases for TestResources_GetIssuancePolicyEntityInfo","199","TestResources_GetIssuancePolicyEntityInfo","","Wed Jul 01 19:47:02 UTC 2026","passed","Wed Jul 01 19:47:02 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_GetIssuancePolicyEntityInfo","TestResources_GetIssuancePolicyEntityInfo"
"","6","shows items when all required permissions are granted","useSubNavRoutes","Wed Jul 01 19:50:48 UTC 2026","passed","Wed Jul 01 19:50:48 UTC 2026","","permissions gate","",""
"Test cases for TestManagementResource_DeleteUser_BadUserID","0","TestManagementResource_DeleteUser_BadUserID","","Wed Jul 01 19:47:23 UTC 2026","passed","Wed Jul 01 19:47:23 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_DeleteUser_BadUserID","TestManagementResource_DeleteUser_BadUserID"
"Test cases for TestUnmarshalTimeJSON","0","TestUnmarshalTimeJSON","","Wed Jul 01 19:47:08 UTC 2026","passed","Wed Jul 01 19:47:08 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestUnmarshalTimeJSON","TestUnmarshalTimeJSON"
"Test cases for TestStore_DeleteAnalysisRequest","0","TestStore_DeleteAnalysisRequest","","Wed Jul 01 19:47:52 UTC 2026","passed","Wed Jul 01 19:47:52 UTC 2026","","Go Test","github.com/specterops/bloodhound/server/analysis/internal/appdb/TestStore_DeleteAnalysisRequest","TestStore_DeleteAnalysisRequest"
"","67","renders Tier Zero text by default when no Zone Selector is available and on a Zone page","TagSelector","Wed Jul 01 19:51:34 UTC 2026","passed","Wed Jul 01 19:51:34 UTC 2026","","","",""
"","156","continue button is disabled when no SSO provider has been selected","LoginViaSSOForm","Wed Jul 01 19:51:49 UTC 2026","passed","Wed Jul 01 19:51:49 UTC 2026","","","",""
"Test cases for Test_hasCycle","0","Test_hasCycle","","Wed Jul 01 19:47:33 UTC 2026","passed","Wed Jul 01 19:47:33 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/lab/Test_hasCycle","Test_hasCycle"
"Test cases for TestHandlers_ToggleFlag","1","TestHandlers_ToggleFlag","","Wed Jul 01 19:47:55 UTC 2026","passed","Wed Jul 01 19:47:55 UTC 2026","","Go Test","github.com/specterops/bloodhound/server/featureflags/internal/handlers/TestHandlers_ToggleFlag","TestHandlers_ToggleFlag"
"","37","renders correctly when an unexpected nodeType is passed","NodeIcon","Wed Jul 01 19:52:45 UTC 2026","passed","Wed Jul 01 19:52:45 UTC 2026","","","",""
"","206","should render","NoDataDialog","Wed Jul 01 19:53:29 UTC 2026","passed","Wed Jul 01 19:53:29 UTC 2026","","","",""
"","0","returns false if value is +0","searchParams","Wed Jul 01 19:51:54 UTC 2026","passed","Wed Jul 01 19:51:54 UTC 2026","","isEmptyParam","",""
"","0","reports an API error when Cypher is not run first","handleError","Wed Jul 01 19:49:26 UTC 2026","passed","Wed Jul 01 19:49:26 UTC 2026","","","",""
"Test cases for TestHasSequence","0","TestHasSequence","","Wed Jul 01 19:47:31 UTC 2026","passed","Wed Jul 01 19:47:31 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/bomenc/TestHasSequence","TestHasSequence"
"","305","should not display generate/revoke api tokens button","User Actions Menu","Wed Jul 01 19:50:54 UTC 2026","passed","Wed Jul 01 19:50:54 UTC 2026","","Api Keys","",""
"","547","shows success notification after successful deletion","ActiveExtensionsCard","Wed Jul 01 19:48:22 UTC 2026","passed","Wed Jul 01 19:48:23 UTC 2026","","","",""
"Test cases for TestResources_UpdateSavedQuery_NoQueryMatch","0","TestResources_UpdateSavedQuery_NoQueryMatch","","Wed Jul 01 19:47:02 UTC 2026","passed","Wed Jul 01 19:47:02 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_UpdateSavedQuery_NoQueryMatch","TestResources_UpdateSavedQuery_NoQueryMatch"
"","517","should close the dialog when the Cancel button is clicked","Privilege Zones History Filter Dialog","Wed Jul 01 19:50:41 UTC 2026","passed","Wed Jul 01 19:50:41 UTC 2026","","","",""
"","891","displays validation error messages when password does not match confirmation","PasswordDialog","Wed Jul 01 19:48:35 UTC 2026","passed","Wed Jul 01 19:48:36 UTC 2026","","","",""
"","270","handles creating a new zone","Tag Form","Wed Jul 01 19:47:52 UTC 2026","passed","Wed Jul 01 19:47:53 UTC 2026","","","",""
"","0","leaves double quotes untouched","escapeCypherString","Wed Jul 01 19:53:21 UTC 2026","passed","Wed Jul 01 19:53:21 UTC 2026","","","",""
"","83","renders three animated dots","ProcessingIndicator","Wed Jul 01 19:53:31 UTC 2026","passed","Wed Jul 01 19:53:31 UTC 2026","","","",""
"","66","renders highlight for the active tag","SelectedHighlight","Wed Jul 01 19:52:34 UTC 2026","passed","Wed Jul 01 19:52:34 UTC 2026","","","",""
"","63","shows an error notification if there is an error fetching","useFinishedJobs","Wed Jul 01 19:50:42 UTC 2026","passed","Wed Jul 01 19:50:42 UTC 2026","","","",""
"","318","calls onChangePinnedColumns to unpin a column when its pin icon is clicked","ManageColumnsComboBox","Wed Jul 01 19:50:00 UTC 2026","passed","Wed Jul 01 19:50:00 UTC 2026","","","",""
"","0","returns disabled if relationshipQueryItemId does not have a matching sourceId, edgeType, targetId","useExploreGraph","Wed Jul 01 19:49:24 UTC 2026","passed","Wed Jul 01 19:49:24 UTC 2026","composition search queries","exploreGraphQueryFactory","",""
"Test cases for TestStorageFileService_WriteFile","43","TestStorageFileService_WriteFile","","Wed Jul 01 19:47:51 UTC 2026","passed","Wed Jul 01 19:47:51 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/storage/TestStorageFileService_WriteFile","TestStorageFileService_WriteFile"
"Test cases for TestGetPageParamsForGraphQuery","0","TestGetPageParamsForGraphQuery","","Wed Jul 01 19:47:30 UTC 2026","passed","Wed Jul 01 19:47:30 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/utils/TestGetPageParamsForGraphQuery","TestGetPageParamsForGraphQuery"
"Test cases for TestBoolEqual","0","TestBoolEqual","","Wed Jul 01 19:47:08 UTC 2026","passed","Wed Jul 01 19:47:08 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestBoolEqual","TestBoolEqual"
