"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","shows no collection methods","toCollected","Thu Jul 02 19:24:45 UTC 2026","passed","Thu Jul 02 19:24:45 UTC 2026","","","",""
"","722","calls delete mutation when confirm button is clicked with correct input","ActiveExtensionsCard","Thu Jul 02 19:20:05 UTC 2026","passed","Thu Jul 02 19:20:06 UTC 2026","","","",""
"","447","calls handleFilterChange when a node type is selected","AssetGroupEdit","Thu Jul 02 19:21:52 UTC 2026","passed","Thu Jul 02 19:21:52 UTC 2026","","Node Type dropdown filter","",""
"Test cases for TestManagementResource_SSOLoginHandler","8","TestManagementResource_SSOLoginHandler","","Thu Jul 02 19:19:19 UTC 2026","passed","Thu Jul 02 19:19:19 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_SSOLoginHandler","TestManagementResource_SSOLoginHandler"
"","77","enables filtering out for tags that are treated as Labels (including Owned)","the useAssetGroupTags utilities","Thu Jul 02 19:21:35 UTC 2026","passed","Thu Jul 02 19:21:35 UTC 2026","","","",""
"Test cases for TestManagementResource_ServeMetadata","27","TestManagementResource_ServeMetadata","","Thu Jul 02 19:19:19 UTC 2026","passed","Thu Jul 02 19:19:19 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_ServeMetadata","TestManagementResource_ServeMetadata"
"Test cases for TestParseOptionalBoolEmptyValue","0","TestParseOptionalBoolEmptyValue","","Thu Jul 02 19:18:23 UTC 2026","passed","Thu Jul 02 19:18:23 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestParseOptionalBoolEmptyValue","TestParseOptionalBoolEmptyValue"
"Test cases for TestDispatchAnalysisSteps","4","TestDispatchAnalysisSteps","","Thu Jul 02 19:19:03 UTC 2026","passed","Thu Jul 02 19:19:03 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/analysis/TestDispatchAnalysisSteps","TestDispatchAnalysisSteps"
"","6371","Typing in the search bar filters the results","ExploreTable","Thu Jul 02 19:19:36 UTC 2026","passed","Thu Jul 02 19:19:43 UTC 2026","","","",""
"","4041","Clicking on a row causes row to be selected","ExploreTable","Thu Jul 02 19:19:43 UTC 2026","passed","Thu Jul 02 19:19:47 UTC 2026","","","",""
