"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","919","should call onSave when save button is clicked","SaveQueryDialog","Wed Apr 08 01:57:51 UTC 2026","passed","Wed Apr 08 01:57:52 UTC 2026","","","",""
"","77","renders the total count and object counts on success","ObjectCountPanel","Wed Apr 08 02:01:55 UTC 2026","passed","Wed Apr 08 02:01:55 UTC 2026","","","",""
"Test cases for TestManagementResource_UpdateUser_ETAC","1811","TestManagementResource_UpdateUser_ETAC","","Wed Apr 08 01:57:15 UTC 2026","passed","Wed Apr 08 01:57:17 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_UpdateUser_ETAC","TestManagementResource_UpdateUser_ETAC"
"","72","clears selected if same note is clicked again","NoteCell component","Wed Apr 08 02:01:10 UTC 2026","passed","Wed Apr 08 02:01:10 UTC 2026","","","",""
"","216","displays validation error messages when Save button is clicked and no form input is provided","PasswordDialog","Wed Apr 08 01:58:17 UTC 2026","passed","Wed Apr 08 01:58:17 UTC 2026","","","",""
"","74","displays ! icon when one of the Affected Object calls fail","EntityInfoDataTable","Wed Apr 08 01:58:39 UTC 2026","passed","Wed Apr 08 01:58:39 UTC 2026","","Node count for nested table that counts all sections","",""
"","434","disables checkboxes by default","SourceKindsCheckboxes","Wed Apr 08 01:59:48 UTC 2026","passed","Wed Apr 08 01:59:49 UTC 2026","","","",""
"","292","sets the calendar date to match the valid","ManagedDatePicker - value","Wed Apr 08 02:00:16 UTC 2026","passed","Wed Apr 08 02:00:17 UTC 2026","","","",""
"Test cases for TestManagementResource_GetRole","29458","TestManagementResource_GetRole","","Wed Apr 08 01:56:56 UTC 2026","passed","Wed Apr 08 01:57:26 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_GetRole","TestManagementResource_GetRole"
"","427","Selecting an edge with a Computer target node that haslaps is enabled shows correct Windows Abuse text","EdgeInfoContent","Wed Apr 08 01:58:07 UTC 2026","passed","Wed Apr 08 01:58:08 UTC 2026","","","",""
"Test cases for TestResources_GetEdgeRelayTargets","93","TestResources_GetEdgeRelayTargets","","Wed Apr 08 01:56:50 UTC 2026","passed","Wed Apr 08 01:56:50 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_GetEdgeRelayTargets","TestResources_GetEdgeRelayTargets"
"Test cases for TestResources_OpenGraphSchemaIngest","1","TestResources_OpenGraphSchemaIngest","","Wed Apr 08 01:56:50 UTC 2026","passed","Wed Apr 08 01:56:50 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_OpenGraphSchemaIngest","TestResources_OpenGraphSchemaIngest"
"","280","should display a ""Configure Multi-Factor Authentication"" modal","UserProfile","Wed Apr 08 01:59:19 UTC 2026","passed","Wed Apr 08 01:59:20 UTC 2026","","""Multi-Factor Authentication"" switch","",""
"","1","If for some reason the node size is not defined return 1 as a default","getNodeRadius","Wed Apr 08 02:03:28 UTC 2026","passed","Wed Apr 08 02:03:28 UTC 2026","","","",""
"Test cases for TestIntFromPtr","0","TestIntFromPtr","","Wed Apr 08 01:56:53 UTC 2026","passed","Wed Apr 08 01:56:53 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestIntFromPtr","TestIntFromPtr"
"Test cases for TestResources_UpdateSavedQuery_Admin_NonPublicQuery","0","TestResources_UpdateSavedQuery_Admin_NonPublicQuery","","Wed Apr 08 01:56:50 UTC 2026","passed","Wed Apr 08 01:56:50 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_UpdateSavedQuery_Admin_NonPublicQuery","TestResources_UpdateSavedQuery_Admin_NonPublicQuery"
"Test cases for TestResources_GetGPOEntityInfo","10","TestResources_GetGPOEntityInfo","","Wed Apr 08 01:56:50 UTC 2026","passed","Wed Apr 08 01:56:50 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_GetGPOEntityInfo","TestResources_GetGPOEntityInfo"
"Test cases for TestManagementResource_SAMLLoginHandler","11","TestManagementResource_SAMLLoginHandler","","Wed Apr 08 01:57:26 UTC 2026","passed","Wed Apr 08 01:57:26 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_SAMLLoginHandler","TestManagementResource_SAMLLoginHandler"
"","296","Selecting an edge with a Computer target node that does not have haslaps enabled shows correct Windows Abuse text","EdgeInfoContent","Wed Apr 08 01:58:08 UTC 2026","passed","Wed Apr 08 01:58:08 UTC 2026","","","",""
"","373","renders the Import Query Dialog","ImportQueryDialog","Wed Apr 08 02:02:22 UTC 2026","passed","Wed Apr 08 02:02:22 UTC 2026","","","",""
"Test cases for TestMarshalInt64Text","0","TestMarshalInt64Text","","Wed Apr 08 01:56:53 UTC 2026","passed","Wed Apr 08 01:56:53 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestMarshalInt64Text","TestMarshalInt64Text"
"Test cases for TestResources_ToggleFlag","0","TestResources_ToggleFlag","","Wed Apr 08 01:56:50 UTC 2026","passed","Wed Apr 08 01:56:50 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ToggleFlag","TestResources_ToggleFlag"
"","125","calls onClick when toggle button clicked","EarlyAccessFeatureToggle","Wed Apr 08 02:03:28 UTC 2026","passed","Wed Apr 08 02:03:28 UTC 2026","","","",""
