"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test cases for TestManagementResource_GetSAMLProvider","22","TestManagementResource_GetSAMLProvider","","Fri May 22 14:28:26 UTC 2026","passed","Fri May 22 14:28:26 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_GetSAMLProvider","TestManagementResource_GetSAMLProvider"
"","7","does not render when selector is default","Delete Selector Button rendering","Fri May 22 14:34:56 UTC 2026","passed","Fri May 22 14:34:56 UTC 2026","","","",""
"Test cases for TestEncodingInterface","1","TestEncodingInterface","","Fri May 22 14:28:30 UTC 2026","passed","Fri May 22 14:28:30 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/bomenc/TestEncodingInterface","TestEncodingInterface"
"","178","shows ""<10 Days to Expire"" warning when token expires within 10 days","UserTokenManagementDialog - API Expiration Date column","Fri May 22 14:31:32 UTC 2026","passed","Fri May 22 14:31:32 UTC 2026","","","",""
"Test cases for TestResources_ListADDomainForeignUsers","1","TestResources_ListADDomainForeignUsers","","Fri May 22 14:28:26 UTC 2026","passed","Fri May 22 14:28:26 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListADDomainForeignUsers","TestResources_ListADDomainForeignUsers"
"","2","should include all operations when the tag matches the term","opsFilter","Fri May 22 14:34:13 UTC 2026","passed","Fri May 22 14:34:13 UTC 2026","","","",""
"","237","calls setExploreParams with only the expandedSection label when selecting any accordion that is not composition","EdgeInfoContent","Fri May 22 14:30:09 UTC 2026","passed","Fri May 22 14:30:09 UTC 2026","","EdgeInfoContent support for Deep Linking","",""
"","132","should redirect to nested /file-ingest route if user navigates to /","Administration","Fri May 22 14:36:31 UTC 2026","passed","Fri May 22 14:36:31 UTC 2026","","","",""
"Test cases for TestSavedQueries_GetValidFilterPredicatesAsStrings","0","TestSavedQueries_GetValidFilterPredicatesAsStrings","","Fri May 22 14:28:27 UTC 2026","passed","Fri May 22 14:28:27 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/model/TestSavedQueries_GetValidFilterPredicatesAsStrings","TestSavedQueries_GetValidFilterPredicatesAsStrings"
"","152","links to the specified route with global params intact","AppLink","Fri May 22 14:33:24 UTC 2026","passed","Fri May 22 14:33:24 UTC 2026","","","",""
"","0","fails for empty password","testPassword","Fri May 22 14:35:17 UTC 2026","passed","Fri May 22 14:35:17 UTC 2026","","","",""
"","391","invalidates the extensions query after a successful upload","SchemaUploadDialog","Fri May 22 14:31:14 UTC 2026","passed","Fri May 22 14:31:14 UTC 2026","","","",""
"","189","renders a snackbar notification in the dom and tests the long autoHideDuration","AppNotifications","Fri May 22 14:33:56 UTC 2026","passed","Fri May 22 14:33:56 UTC 2026","","","",""
"","1","combines all filter types","filterAndSearchEnvironments","Fri May 22 14:30:02 UTC 2026","passed","Fri May 22 14:30:02 UTC 2026","","combined filters","",""
"Test cases for TestStringFromPtr","0","TestStringFromPtr","","Fri May 22 14:28:27 UTC 2026","passed","Fri May 22 14:28:27 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestStringFromPtr","TestStringFromPtr"
"Test cases for TestRequestWaitDuration_Failure","0","TestRequestWaitDuration_Failure","","Fri May 22 14:28:25 UTC 2026","passed","Fri May 22 14:28:25 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/middleware/TestRequestWaitDuration_Failure","TestRequestWaitDuration_Failure"
"","0","returns false if arrays have different elements","areArraysSimilar","Fri May 22 14:34:55 UTC 2026","passed","Fri May 22 14:34:55 UTC 2026","","","",""
"","1259","shows a table with partially completed jobs","FileIngestTable","Fri May 22 14:30:44 UTC 2026","passed","Fri May 22 14:30:45 UTC 2026","","","",""
"Test cases for TestMinMaxValidator","0","TestMinMaxValidator","","Fri May 22 14:28:29 UTC 2026","passed","Fri May 22 14:28:29 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/utils/validation/TestMinMaxValidator","TestMinMaxValidator"
"Test cases for TestResources_GetCertTemplateEntityInfo","236","TestResources_GetCertTemplateEntityInfo","","Fri May 22 14:28:26 UTC 2026","passed","Fri May 22 14:28:26 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_GetCertTemplateEntityInfo","TestResources_GetCertTemplateEntityInfo"
"Test cases for TestMarshalIntText","0","TestMarshalIntText","","Fri May 22 14:28:27 UTC 2026","passed","Fri May 22 14:28:27 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestMarshalIntText","TestMarshalIntText"
"","1513","does not show a warning for using labels associated with tags in label forms (also shows correct View in Explore link)","Rule Form","Fri May 22 14:30:04 UTC 2026","passed","Fri May 22 14:30:06 UTC 2026","","","",""
"","69","populates the node search field when the 'primarySearch' query param is set","useNodeSearch","Fri May 22 14:34:19 UTC 2026","passed","Fri May 22 14:34:19 UTC 2026","","","",""
"","166","should call onCancel when return to login button clicked","PasswordResetForm","Fri May 22 14:32:45 UTC 2026","passed","Fri May 22 14:32:46 UTC 2026","","","",""
"Test cases for TestReadRFC3339","0","TestReadRFC3339","","Fri May 22 14:28:29 UTC 2026","passed","Fri May 22 14:28:29 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/utils/TestReadRFC3339","TestReadRFC3339"
"","1","determines glyphs with the tier_managent_engine feature flag enabled","getNodeGlyphs","Fri May 22 14:36:09 UTC 2026","passed","Fri May 22 14:36:09 UTC 2026","","","",""
"","307","should not display generate/revoke api tokens button","Api Keys","Fri May 22 14:33:44 UTC 2026","passed","Fri May 22 14:33:44 UTC 2026","","","",""
"","1420","when user performs a single node search, the selected node carries over to the `start node` input field on the pathfinding tab","ExploreSearch interaction","Fri May 22 14:35:59 UTC 2026","passed","Fri May 22 14:36:00 UTC 2026","","","",""
"","1163","should call onSave when Save button is clicked and form input is valid","CreateUserDialog","Fri May 22 14:30:33 UTC 2026","passed","Fri May 22 14:30:34 UTC 2026","","","",""
"","3","returns all environments when no filters are active","filterAndSearchEnvironments","Fri May 22 14:30:02 UTC 2026","passed","Fri May 22 14:30:02 UTC 2026","","with no filters applied","",""
"","127","buttons are disabled while loading","PasswordResetForm","Fri May 22 14:32:46 UTC 2026","passed","Fri May 22 14:32:46 UTC 2026","","","",""
"","322","filters unselected columns when typing in the filter input","ManageColumnsComboBox","Fri May 22 14:31:44 UTC 2026","passed","Fri May 22 14:31:44 UTC 2026","","","",""
"","121","should display the ETAC role-based filtering badge when filtering is enabled","Zone Management","Fri May 22 14:34:04 UTC 2026","passed","Fri May 22 14:34:04 UTC 2026","","","",""
"Test cases for TestManagementResource_ListAuthTokens_UserIDFilter","1","TestManagementResource_ListAuthTokens_UserIDFilter","","Fri May 22 14:28:26 UTC 2026","passed","Fri May 22 14:28:26 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_ListAuthTokens_UserIDFilter","TestManagementResource_ListAuthTokens_UserIDFilter"
"","321","fires click handlers","ConfirmDeleteQueryDialog","Fri May 22 14:35:11 UTC 2026","passed","Fri May 22 14:35:11 UTC 2026","","","",""
"","103","should display ""Password"" input","Enable2FADialog","Fri May 22 14:33:49 UTC 2026","passed","Fri May 22 14:33:49 UTC 2026","","","",""
"Test cases for TestLoginFailure","0","TestLoginFailure","","Fri May 22 14:28:26 UTC 2026","passed","Fri May 22 14:28:26 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestLoginFailure","TestLoginFailure"
"Test cases for TestClearCache_HA","0","TestClearCache_HA","","Fri May 22 14:28:27 UTC 2026","passed","Fri May 22 14:28:27 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/daemons/changelog/TestClearCache_HA","TestClearCache_HA"
"Test cases for TestRoleAssignments_NodesWithRole","0","TestRoleAssignments_NodesWithRole","","Fri May 22 14:28:30 UTC 2026","passed","Fri May 22 14:28:30 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/analysis/azure/TestRoleAssignments_NodesWithRole","TestRoleAssignments_NodesWithRole"
"Test cases for TestConvertAzureSubscriptionContributorToRels","0","TestConvertAzureSubscriptionContributorToRels","","Fri May 22 14:28:30 UTC 2026","passed","Fri May 22 14:28:30 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/ein/TestConvertAzureSubscriptionContributorToRels","TestConvertAzureSubscriptionContributorToRels"
"Test cases for TestInt64IsZero","0","TestInt64IsZero","","Fri May 22 14:28:27 UTC 2026","passed","Fri May 22 14:28:27 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestInt64IsZero","TestInt64IsZero"
"","0","should return true when value partially matches term","compareTerm","Fri May 22 14:34:13 UTC 2026","passed","Fri May 22 14:34:13 UTC 2026","","","",""
"","2217","renders","Glyph Select Dialog","Fri May 22 14:34:50 UTC 2026","passed","Fri May 22 14:34:52 UTC 2026","","","",""
"Test cases for TestInvalidValueError","0","TestInvalidValueError","","Fri May 22 14:28:30 UTC 2026","passed","Fri May 22 14:28:30 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/cache/TestInvalidValueError","TestInvalidValueError"
"","178","calls handleFilterChange with all filter types and empty strings when clicked while filters are active","AssetGroupEdit","Fri May 22 14:31:55 UTC 2026","passed","Fri May 22 14:31:55 UTC 2026","","Clear Filters button","",""
"","1","should recognize a common properties","validating a node property against the shared generated schema","Fri May 22 14:31:48 UTC 2026","passed","Fri May 22 14:31:48 UTC 2026","","","",""
"","603","navigates to object details when clicking an object row","ObjectsAccordion","Fri May 22 14:34:17 UTC 2026","passed","Fri May 22 14:34:18 UTC 2026","","","",""
"","2709","search filters edges by name","Pathfinding","Fri May 22 14:31:08 UTC 2026","passed","Fri May 22 14:31:11 UTC 2026","","","",""
"Test cases for TestResources_ListADOUContainedGroups","0","TestResources_ListADOUContainedGroups","","Fri May 22 14:28:26 UTC 2026","passed","Fri May 22 14:28:26 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListADOUContainedGroups","TestResources_ListADOUContainedGroups"
"","0","returns false if value is 'array'","searchParams","Fri May 22 14:33:39 UTC 2026","passed","Fri May 22 14:33:39 UTC 2026","","isEmptyParam","",""
"","70","displays an error message while fetching fails","ActiveExtensionsCard","Fri May 22 14:30:07 UTC 2026","passed","Fri May 22 14:30:08 UTC 2026","","","",""
"","341","displays 0 when a given sections returns empty, and sums the rest of the sections correctly","EntityInfoDataTable","Fri May 22 14:31:20 UTC 2026","passed","Fri May 22 14:31:21 UTC 2026","","Node count for nested table that counts all sections","",""
"Test cases for TestBuildSQLFilter","0","TestBuildSQLFilter","","Fri May 22 14:28:27 UTC 2026","passed","Fri May 22 14:28:27 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/model/TestBuildSQLFilter","TestBuildSQLFilter"
"","6309","calls onExploreMenuCollapse again when user reopens widget and runs another multi-node query","CypherSearch","Fri May 22 14:30:56 UTC 2026","passed","Fri May 22 14:31:03 UTC 2026","","Minimize explorer page elements when multiple nodes are returned","",""
"","921","should render","CypherSearch","Fri May 22 14:30:31 UTC 2026","passed","Fri May 22 14:30:32 UTC 2026","","","",""
"","1","lastlogon, lastlogontimestamp","Handling value formatting for Active Directory entity properties lastlogon, lastlogontimestamp, whencreated, and pwdlastset","Fri May 22 14:31:48 UTC 2026","passed","Fri May 22 14:31:48 UTC 2026","","","",""
"","478","should call ""onSave"" one time","Enable2FADialog","Fri May 22 14:33:49 UTC 2026","passed","Fri May 22 14:33:50 UTC 2026","user clicks ""Disable Multi-Factor Authentication"" button","user enters valid password","",""
"Test cases for TestTracker_HasEdge_And_DeletedEdges","0","TestTracker_HasEdge_And_DeletedEdges","","Fri May 22 14:28:30 UTC 2026","passed","Fri May 22 14:28:30 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/analysis/post/TestTracker_HasEdge_And_DeletedEdges","TestTracker_HasEdge_And_DeletedEdges"
"","0","passes ruleType through optionalParams with empty object","handleError","Fri May 22 14:31:15 UTC 2026","passed","Fri May 22 14:31:15 UTC 2026","","","",""
"","4852","should render","Pathfinding","Fri May 22 14:30:12 UTC 2026","passed","Fri May 22 14:30:17 UTC 2026","","","",""
"","948","should not call onSubmit when password does not match confirmation password when reset password button clicked","PasswordResetForm","Fri May 22 14:32:43 UTC 2026","passed","Fri May 22 14:32:44 UTC 2026","","","",""
"","0","fails for password without uppercase letters","testPassword","Fri May 22 14:35:17 UTC 2026","passed","Fri May 22 14:35:17 UTC 2026","","","",""
"","274","renders enabled Label, Rule and Object tabs","Selected Details Tabs","Fri May 22 14:32:20 UTC 2026","passed","Fri May 22 14:32:20 UTC 2026","","Selected Details Tabs - Params present","",""
"","522","renders correctly with requiresCurrentPassword false","PasswordDialog","Fri May 22 14:30:20 UTC 2026","passed","Fri May 22 14:30:21 UTC 2026","","","",""
"Test cases for TestResources_ProcessIngestTask","11","TestResources_ProcessIngestTask","","Fri May 22 14:28:26 UTC 2026","passed","Fri May 22 14:28:26 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ProcessIngestTask","TestResources_ProcessIngestTask"
"","421","renders an edit form for the selected asset group when a user has graph write permissions","GroupManagement","Fri May 22 14:36:17 UTC 2026","passed","Fri May 22 14:36:17 UTC 2026","","","",""
"","69","fetches new information when a different databaseId is passed","useFetchEntityInfo","Fri May 22 14:32:44 UTC 2026","passed","Fri May 22 14:32:44 UTC 2026","","","",""
"Test cases for TestManagementResource_SanitizeAndGetRoles","1","TestManagementResource_SanitizeAndGetRoles","","Fri May 22 14:28:26 UTC 2026","passed","Fri May 22 14:28:26 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_SanitizeAndGetRoles","TestManagementResource_SanitizeAndGetRoles"
"","1588","handles copying the name","CopyMenuItem","Fri May 22 14:35:14 UTC 2026","passed","Fri May 22 14:35:16 UTC 2026","","","",""
"Test cases for TestSetValuesFromEnv","0","TestSetValuesFromEnv","","Fri May 22 14:28:27 UTC 2026","passed","Fri May 22 14:28:27 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/config/TestSetValuesFromEnv","TestSetValuesFromEnv"
"","463","displays a “Disable query timeout” checkbox when timeout limit param config is enabled false","ExploreSearch interaction","Fri May 22 14:36:02 UTC 2026","passed","Fri May 22 14:36:03 UTC 2026","","","",""
"Test cases for TestCreateUser_FailureDuplicateEmail","0","TestCreateUser_FailureDuplicateEmail","","Fri May 22 14:28:26 UTC 2026","passed","Fri May 22 14:28:26 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestCreateUser_FailureDuplicateEmail","TestCreateUser_FailureDuplicateEmail"
"Test cases for TestGetMFAActivationStatus_Success","0","TestGetMFAActivationStatus_Success","","Fri May 22 14:28:26 UTC 2026","passed","Fri May 22 14:28:26 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestGetMFAActivationStatus_Success","TestGetMFAActivationStatus_Success"
"","222","should render a nav element with logo, two lists, a version number and a powered by","MainNav","Fri May 22 14:32:11 UTC 2026","passed","Fri May 22 14:32:12 UTC 2026","","","",""
"","706","shows success notification after successful deletion","ActiveExtensionsCard","Fri May 22 14:30:12 UTC 2026","passed","Fri May 22 14:30:13 UTC 2026","","","",""
"","549","should render an SavedQueryPermissions component","SavedQueryPermissions","Fri May 22 14:33:30 UTC 2026","passed","Fri May 22 14:33:30 UTC 2026","","","",""
"","66","passes checks if the user has multiple required permissions","usePermissions","Fri May 22 14:32:00 UTC 2026","passed","Fri May 22 14:32:00 UTC 2026","","","",""
"","2660","requires a password to disable MFA for a user when logged in without SSO","Users","Fri May 22 14:32:27 UTC 2026","passed","Fri May 22 14:32:30 UTC 2026","","","",""
"","0","should be case-insensitive when matching by path","opsFilter","Fri May 22 14:34:13 UTC 2026","passed","Fri May 22 14:34:13 UTC 2026","","","",""
"","6","should not render a Field when the provided value is """"","Field","Fri May 22 14:34:44 UTC 2026","passed","Fri May 22 14:34:44 UTC 2026","","","",""
"Test cases for TestResources_SearchHandler_ETAC","0","TestResources_SearchHandler_ETAC","","Fri May 22 14:28:26 UTC 2026","passed","Fri May 22 14:28:26 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_SearchHandler_ETAC","TestResources_SearchHandler_ETAC"
"","66","displays security warning","Enable2FADialog","Fri May 22 14:33:49 UTC 2026","passed","Fri May 22 14:33:49 UTC 2026","","","",""
"Test cases for TestResources_CreateAssetGroupTagSelector","3","TestResources_CreateAssetGroupTagSelector","","Fri May 22 14:28:26 UTC 2026","passed","Fri May 22 14:28:26 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_CreateAssetGroupTagSelector","TestResources_CreateAssetGroupTagSelector"
"","387","sets secondarySearch=id and searchType=node when primarySearch is falsey","ContextMenu","Fri May 22 14:36:10 UTC 2026","passed","Fri May 22 14:36:10 UTC 2026","","","",""
"Test cases for Test_NewSpec","0","Test_NewSpec","","Fri May 22 14:28:31 UTC 2026","passed","Fri May 22 14:28:31 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/lab/Test_NewSpec","Test_NewSpec"
"Test cases for TestManagementResource_CreateAuthToken","11","TestManagementResource_CreateAuthToken","","Fri May 22 14:28:26 UTC 2026","passed","Fri May 22 14:28:26 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_CreateAuthToken","TestManagementResource_CreateAuthToken"
"Test cases for TestManagementResource_ListRoles","0","TestManagementResource_ListRoles","","Fri May 22 14:28:26 UTC 2026","passed","Fri May 22 14:28:26 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_ListRoles","TestManagementResource_ListRoles"
"Test cases for TestResources_ListADEntityAdminRights","1","TestResources_ListADEntityAdminRights","","Fri May 22 14:28:26 UTC 2026","passed","Fri May 22 14:28:26 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListADEntityAdminRights","TestResources_ListADEntityAdminRights"
"","1065","renders group and tenant dropdown selectors","GroupManagement","Fri May 22 14:36:15 UTC 2026","passed","Fri May 22 14:36:16 UTC 2026","","","",""
"","915","should render with a full list of multiple tenants and domains","Simple Environment Selector","Fri May 22 14:32:05 UTC 2026","passed","Fri May 22 14:32:06 UTC 2026","","","",""
"Test cases for TestResources_ListADDomainDCSyncers","0","TestResources_ListADDomainDCSyncers","","Fri May 22 14:28:26 UTC 2026","passed","Fri May 22 14:28:26 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListADDomainDCSyncers","TestResources_ListADDomainDCSyncers"
"","1089","should eventually render previously configured SSO providers","SSOConfiguration","Fri May 22 14:31:45 UTC 2026","passed","Fri May 22 14:31:46 UTC 2026","","","",""
"Test cases for TestPermissionsCheckAtLeastOne","0","TestPermissionsCheckAtLeastOne","","Fri May 22 14:28:25 UTC 2026","passed","Fri May 22 14:28:25 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/middleware/TestPermissionsCheckAtLeastOne","TestPermissionsCheckAtLeastOne"
"","87","returns Tag Object counts when there is a Tag selected but no Rule selected (ruleId is undefined from path params)","useObjectCounts","Fri May 22 14:34:49 UTC 2026","passed","Fri May 22 14:34:49 UTC 2026","","","",""
"","10","constructs correct URLSearchParams with all filters","createHistoryParams","Fri May 22 14:34:19 UTC 2026","passed","Fri May 22 14:34:19 UTC 2026","","","",""
"","57","shows the direct object empty and expanded object list empty, when no results in both","Seed Selection Results","Fri May 22 14:31:37 UTC 2026","passed","Fri May 22 14:31:37 UTC 2026","","","",""
"","121","shows View in Explore if exploreUrl is supplied","Seed Selection Results","Fri May 22 14:31:37 UTC 2026","passed","Fri May 22 14:31:37 UTC 2026","","","",""
"Test cases for TestGetVersion","0","TestGetVersion","","Fri May 22 14:28:26 UTC 2026","passed","Fri May 22 14:28:26 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestGetVersion","TestGetVersion"
"TestManifest_AddMigration tests that migrations are added to the correct locationwithin the migration map and in the correct order.","0","TestManifest_AddMigration","","Fri May 22 14:28:27 UTC 2026","passed","Fri May 22 14:28:27 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/migration/TestManifest_AddMigration","TestManifest_AddMigration"
"","1239","should render many sections with many navigation items","SubNav","Fri May 22 14:34:01 UTC 2026","passed","Fri May 22 14:34:02 UTC 2026","","","",""
"Test cases for Test_ParseGraphSortParameters_Success","0","Test_ParseGraphSortParameters_Success","","Fri May 22 14:28:25 UTC 2026","passed","Fri May 22 14:28:25 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/Test_ParseGraphSortParameters_Success","Test_ParseGraphSortParameters_Success"
"","3","treats a missing key as null when computing the next value","useLocalStorage","Fri May 22 14:32:13 UTC 2026","passed","Fri May 22 14:32:13 UTC 2026","","functional updater","",""
"Test cases for TestRandomDurationBetween","0","TestRandomDurationBetween","","Fri May 22 14:28:27 UTC 2026","passed","Fri May 22 14:28:27 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/daemons/datapipe/TestRandomDurationBetween","TestRandomDurationBetween"
"","216","fires onSelect prop when a result is clicked","SearchCurrentNodes","Fri May 22 14:33:16 UTC 2026","passed","Fri May 22 14:33:16 UTC 2026","","","",""
"Test cases for TestMarshalBool","0","TestMarshalBool","","Fri May 22 14:28:27 UTC 2026","passed","Fri May 22 14:28:27 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestMarshalBool","TestMarshalBool"
"","2","prevents Sigma defaults events","preventAllDefaults","Fri May 22 14:36:38 UTC 2026","passed","Fri May 22 14:36:38 UTC 2026","","","",""
"Test cases for TestSignRequestSuccess","0","TestSignRequestSuccess","","Fri May 22 14:28:25 UTC 2026","passed","Fri May 22 14:28:25 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestSignRequestSuccess","TestSignRequestSuccess"
"Test cases for TestCacheEntryDigester_PoolStateReuse","0","TestCacheEntryDigester_PoolStateReuse","","Fri May 22 14:28:28 UTC 2026","passed","Fri May 22 14:28:28 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/services/graphify/endpoint/TestCacheEntryDigester_PoolStateReuse","TestCacheEntryDigester_PoolStateReuse"
"","344","renders the form for editing an existing zone","Tag Form","Fri May 22 14:29:38 UTC 2026","passed","Fri May 22 14:29:38 UTC 2026","","","",""
"","3","removes the key when null is passed to the setter","useLocalStorage","Fri May 22 14:32:13 UTC 2026","passed","Fri May 22 14:32:13 UTC 2026","","setValue","",""
"","2","returns undefined for headers when db config timeout limit setting is enabled and state of is disable query limit is true","useExploreGraph","Fri May 22 14:31:07 UTC 2026","passed","Fri May 22 14:31:07 UTC 2026","userSettings","exploreGraphQueryFactory","",""
"","0","uses the correct entity name in the Object ID message","getErrorMessage","Fri May 22 14:31:15 UTC 2026","passed","Fri May 22 14:31:15 UTC 2026","","","",""
"Test cases for TestFloatValueOrZero","0","TestFloatValueOrZero","","Fri May 22 14:28:27 UTC 2026","passed","Fri May 22 14:28:27 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestFloatValueOrZero","TestFloatValueOrZero"
"Test cases for TestBuildErrorResponseBadRequest","1","TestBuildErrorResponseBadRequest","","Fri May 22 14:28:25 UTC 2026","passed","Fri May 22 14:28:25 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestBuildErrorResponseBadRequest","TestBuildErrorResponseBadRequest"
"","0","handles empty search string","filterAndSearchEnvironments","Fri May 22 14:30:02 UTC 2026","passed","Fri May 22 14:30:02 UTC 2026","","search filter","",""
"Test cases for TestTagScanner_NextTopLevelTag","0","TestTagScanner_NextTopLevelTag","","Fri May 22 14:28:29 UTC 2026","passed","Fri May 22 14:28:29 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/services/upload/TestTagScanner_NextTopLevelTag","TestTagScanner_NextTopLevelTag"
"","300","The reset password and two-factor authentication options should not appear in profile page if the user is configured for SAML login","UserProfile with SSO User","Fri May 22 14:32:06 UTC 2026","passed","Fri May 22 14:32:06 UTC 2026","","","",""
"","3","dispatches a storage event with null newValue when the key is removed","useLocalStorage","Fri May 22 14:32:13 UTC 2026","passed","Fri May 22 14:32:13 UTC 2026","","storage event synchronisation","",""
"Test cases for TestResources_SearchAssetGroupTagHistory","141","TestResources_SearchAssetGroupTagHistory","","Fri May 22 14:28:26 UTC 2026","passed","Fri May 22 14:28:26 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_SearchAssetGroupTagHistory","TestResources_SearchAssetGroupTagHistory"
"Test cases for TestUnmarshalInt","0","TestUnmarshalInt","","Fri May 22 14:28:27 UTC 2026","passed","Fri May 22 14:28:27 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestUnmarshalInt","TestUnmarshalInt"
"Test cases for TestManagementResource_ListAuthTokens_Filtered","0","TestManagementResource_ListAuthTokens_Filtered","","Fri May 22 14:28:26 UTC 2026","passed","Fri May 22 14:28:26 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_ListAuthTokens_Filtered","TestManagementResource_ListAuthTokens_Filtered"
"","218","opens the dialog when the button is clicked","SchemaUploadDialog","Fri May 22 14:31:12 UTC 2026","passed","Fri May 22 14:31:12 UTC 2026","","","",""
"","519","renders icons as expected","DropdownSelector","Fri May 22 14:33:55 UTC 2026","passed","Fri May 22 14:33:55 UTC 2026","","","",""
"Test cases for Test_TopLevel","0","Test_TopLevel","","Fri May 22 14:28:31 UTC 2026","passed","Fri May 22 14:28:31 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/schemagen/csgen/Test_TopLevel","Test_TopLevel"
"Test cases for TestWriteAndValidateZip","0","TestWriteAndValidateZip","","Fri May 22 14:28:29 UTC 2026","passed","Fri May 22 14:28:29 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/services/upload/TestWriteAndValidateZip","TestWriteAndValidateZip"
"Test cases for FuzzFoldlLazy","0","FuzzFoldlLazy","","Fri May 22 14:28:31 UTC 2026","passed","Fri May 22 14:28:31 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/slicesext/FuzzFoldlLazy","FuzzFoldlLazy"
"","26","calculates the running time of a job and converts to a human readable format","getSimpleDuration","Fri May 22 14:34:31 UTC 2026","passed","Fri May 22 14:34:31 UTC 2026","","","",""
"","152","does not trigger search for fewer than 3 characters","SearchBar","Fri May 22 14:35:06 UTC 2026","passed","Fri May 22 14:35:06 UTC 2026","","","",""
