"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","219","calls onLayoutChange with the same layout when the currently selected option is clicked, enabling de-selection","GraphControls","Thu Jul 16 19:04:38 UTC 2026","passed","Thu Jul 16 19:04:39 UTC 2026","","Selecting a layout","",""
"Test cases for TestRetainedArchiveName","6","TestRetainedArchiveName","","Thu Jul 16 19:03:08 UTC 2026","passed","Thu Jul 16 19:03:08 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/tools/TestRetainedArchiveName","TestRetainedArchiveName"
"","273","sets secondarySearch=id and searchType=node when primarySearch is falsey","ContextMenu","Thu Jul 16 19:10:29 UTC 2026","passed","Thu Jul 16 19:10:29 UTC 2026","","","",""
"Test cases for TestResources_UpdateSavedQuery_UpdateFailed","0","TestResources_UpdateSavedQuery_UpdateFailed","","Thu Jul 16 19:03:15 UTC 2026","passed","Thu Jul 16 19:03:15 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_UpdateSavedQuery_UpdateFailed","TestResources_UpdateSavedQuery_UpdateFailed"
"Test cases for TestLocalStore_Stat","17","TestLocalStore_Stat","","Thu Jul 16 19:03:43 UTC 2026","passed","Thu Jul 16 19:03:43 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/storage/TestLocalStore_Stat","TestLocalStore_Stat"
"","404","on clicking switch shows modal and when clicking cancel closes it and switch stays disabled","CitrixRDPConfiguration","Thu Jul 16 19:06:28 UTC 2026","passed","Thu Jul 16 19:06:28 UTC 2026","","Click on switch to enable","",""
"Test cases for TestService_ToggleFlag","0","TestService_ToggleFlag","","Thu Jul 16 19:03:51 UTC 2026","passed","Thu Jul 16 19:03:51 UTC 2026","","Go Test","github.com/specterops/bloodhound/server/featureflags/internal/services/TestService_ToggleFlag","TestService_ToggleFlag"
"Test cases for TestLocalStore_Put","19","TestLocalStore_Put","","Thu Jul 16 19:03:43 UTC 2026","passed","Thu Jul 16 19:03:43 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/storage/TestLocalStore_Put","TestLocalStore_Put"
"Test cases for TestNewAuditLog","0","TestNewAuditLog","","Thu Jul 16 19:03:21 UTC 2026","passed","Thu Jul 16 19:03:21 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/TestNewAuditLog","TestNewAuditLog"
"Test cases for TestService_CheckUserAccess","1","TestService_CheckUserAccess","","Thu Jul 16 19:03:47 UTC 2026","passed","Thu Jul 16 19:03:47 UTC 2026","","Go Test","github.com/specterops/bloodhound/server/etac/internal/services/TestService_CheckUserAccess","TestService_CheckUserAccess"
"","0","does not abbreviate numbers < 1000","numberFormatting","Thu Jul 16 19:07:23 UTC 2026","passed","Thu Jul 16 19:07:23 UTC 2026","","","",""
"","0","returns Object ID message when ruleType is SeedTypeObjectId and seeds are required","getErrorMessage","Thu Jul 16 19:05:47 UTC 2026","passed","Thu Jul 16 19:05:47 UTC 2026","","","",""
"","564","calls onToggleNodeLabels when click show all node labels","GraphControls","Thu Jul 16 19:04:36 UTC 2026","passed","Thu Jul 16 19:04:36 UTC 2026","","Toggling labels","",""
"Test cases for TestStore_Get","16","TestStore_Get","","Thu Jul 16 19:03:43 UTC 2026","passed","Thu Jul 16 19:03:43 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/storage/TestStore_Get","TestStore_Get"
"Test cases for TestDomainSelectors_GetFilterCriteria_InvalidFilterColumn","0","TestDomainSelectors_GetFilterCriteria_InvalidFilterColumn","","Thu Jul 16 19:03:22 UTC 2026","passed","Thu Jul 16 19:03:22 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/model/TestDomainSelectors_GetFilterCriteria_InvalidFilterColumn","TestDomainSelectors_GetFilterCriteria_InvalidFilterColumn"
"TestRegister_RoutesRequireAuthentication dispatches real requests through the wiredrouter to verify that the registered routes are guarded by authentication middleware.The handlers themselves trust the middleware to enforce this contract; if the routewireup ever loses RequirePermissions/RequireAuth, this test will fail.","1","TestRegister_RoutesRequireAuthentication","","Thu Jul 16 19:03:51 UTC 2026","passed","Thu Jul 16 19:03:51 UTC 2026","","Go Test","github.com/specterops/bloodhound/server/featureflags/internal/routes/TestRegister_RoutesRequireAuthentication","TestRegister_RoutesRequireAuthentication"
"","93","takes the param appendQueryKey and will append that value to the existing queryKey","useAvailableEnvironments","Thu Jul 16 19:07:03 UTC 2026","passed","Thu Jul 16 19:07:03 UTC 2026","","useAvailableEnvironments","",""
"Test cases for TestDetectContentType","18","TestDetectContentType","","Thu Jul 16 19:03:43 UTC 2026","passed","Thu Jul 16 19:03:43 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/storage/TestDetectContentType","TestDetectContentType"
"","507","should render list of available SSO providers","LoginViaSSOForm","Thu Jul 16 19:07:59 UTC 2026","passed","Thu Jul 16 19:07:59 UTC 2026","","","",""
