"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test cases for TestHandlers_GetAllFlags","1","TestHandlers_GetAllFlags","","2026-08-22","passed","2026-08-22","","Go Test","github.com/specterops/bloodhound/server/featureflags/internal/handlers/TestHandlers_GetAllFlags","TestHandlers_GetAllFlags"
"Test cases for Test_filterAndFormatSearchResults_filterEnvironments_tenantIDFail","0","Test_filterAndFormatSearchResults_filterEnvironments_tenantIDFail","","2026-08-22","passed","2026-08-22","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/Test_filterAndFormatSearchResults_filterEnvironments_tenantIDFail","Test_filterAndFormatSearchResults_filterEnvironments_tenantIDFail"
"","237","does not highlight any layout option on first load when no layout has been manually selected","GraphControls","2026-08-22","passed","2026-08-22","","Selecting a layout","",""
"Test cases for TestManagementResource_ListAuthTokens_NonAdmin","0","TestManagementResource_ListAuthTokens_NonAdmin","","2026-08-22","passed","2026-08-22","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_ListAuthTokens_NonAdmin","TestManagementResource_ListAuthTokens_NonAdmin"
"Test cases for TestLoginSuccess","1","TestLoginSuccess","","2026-08-22","passed","2026-08-22","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestLoginSuccess","TestLoginSuccess"
"Test cases for TestBuildErrorResponseBadRequest","0","TestBuildErrorResponseBadRequest","","2026-08-22","passed","2026-08-22","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestBuildErrorResponseBadRequest","TestBuildErrorResponseBadRequest"
"Test cases for TestConvertAzureVirtualMachineAvereContributorToRels","0","TestConvertAzureVirtualMachineAvereContributorToRels","","2026-08-22","passed","2026-08-22","","Go Test","github.com/specterops/bloodhound/packages/go/ein/TestConvertAzureVirtualMachineAvereContributorToRels","TestConvertAzureVirtualMachineAvereContributorToRels"
"","1","EXTENDED ROUNDING when thresholds are set: returns a comma separated number when provided with a number > 999","numberFormatting","2026-08-22","passed","2026-08-22","","","",""
"","12","returns undefined query state when itemId is undefined","useGraphItem","2026-08-22","passed","2026-08-22","","","",""
"","482","toggles a nested graph data option off","GraphDataCheckboxes","2026-08-22","passed","2026-08-22","","","",""
"","685","renders","Glyph Select Dialog","2026-08-22","passed","2026-08-22","","","",""
"Test cases for TestManagementResource_ListAuthTokens_InvalidColumn","0","TestManagementResource_ListAuthTokens_InvalidColumn","","2026-08-22","passed","2026-08-22","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_ListAuthTokens_InvalidColumn","TestManagementResource_ListAuthTokens_InvalidColumn"
"","35","clears sort state","useSortParams","2026-08-22","passed","2026-08-22","","","",""
"","1009","constrains long zone names to the select width","Privilege Zones History Filter Dialog","2026-08-22","passed","2026-08-22","","","",""
"Test cases for TestResources_ShareSavedQueriesPermissions_Admin","2","TestResources_ShareSavedQueriesPermissions_Admin","","2026-08-22","passed","2026-08-22","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ShareSavedQueriesPermissions_Admin","TestResources_ShareSavedQueriesPermissions_Admin"
"","2","writes initialValue to localStorage when the key is absent","useLocalStorage","2026-08-22","passed","2026-08-22","","initial value","",""
"","386","Close button click causes the callback function to be called","ExploreTable","2026-08-22","passed","2026-08-22","","","",""
"","3","returns true if arrays are referentially equal","areArraysSimilar","2026-08-22","passed","2026-08-22","","","",""
"Test cases for TestBoolFrom","0","TestBoolFrom","","2026-08-22","passed","2026-08-22","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestBoolFrom","TestBoolFrom"
"Test cases for TestIngestControl_LockConflict","4","TestIngestControl_LockConflict","","2026-08-22","passed","2026-08-22","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/tools/TestIngestControl_LockConflict","TestIngestControl_LockConflict"
"","343","should display a searchbox with a placeholder when rendered","AssetGroupEdit","2026-08-22","passed","2026-08-22","","","",""
