"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","54","applies accent styling to headers when accent is true","<DetailsAccordion />","Tue Mar 24 18:58:35 UTC 2026","passed","Tue Mar 24 18:58:35 UTC 2026","","","",""
"Test cases for TestStringIsZero","0","TestStringIsZero","","Tue Mar 24 18:56:44 UTC 2026","passed","Tue Mar 24 18:56:44 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestStringIsZero","TestStringIsZero"
"Test cases for TestGetOrderForNeo4jQuery","0","TestGetOrderForNeo4jQuery","","Tue Mar 24 18:56:52 UTC 2026","passed","Tue Mar 24 18:56:52 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/utils/TestGetOrderForNeo4jQuery","TestGetOrderForNeo4jQuery"
"","17","should render a Field when the provided value is 0","Field","Tue Mar 24 19:01:44 UTC 2026","passed","Tue Mar 24 19:01:44 UTC 2026","","","",""
"Test cases for TestTypes_Scan_Success","0","TestTypes_Scan_Success","","Tue Mar 24 18:56:44 UTC 2026","passed","Tue Mar 24 18:56:44 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/TestTypes_Scan_Success","TestTypes_Scan_Success"
"","15","Calls the cypher search endpoint for a node that is hidden from user with not all environments access","EntityObjectInformation","Tue Mar 24 18:59:55 UTC 2026","passed","Tue Mar 24 18:59:55 UTC 2026","","","",""
"Test cases for TestParseGroupMiscData","2","TestParseGroupMiscData","","Tue Mar 24 18:56:57 UTC 2026","passed","Tue Mar 24 18:56:57 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/ein/TestParseGroupMiscData","TestParseGroupMiscData"
"Test cases for TestResources_ShareSavedQueriesPermissions_Admin","0","TestResources_ShareSavedQueriesPermissions_Admin","","Tue Mar 24 18:56:42 UTC 2026","passed","Tue Mar 24 18:56:42 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ShareSavedQueriesPermissions_Admin","TestResources_ShareSavedQueriesPermissions_Admin"
"","542","adds node to asset group tag with confirmation","AssetGroupMenuItem","Tue Mar 24 18:58:44 UTC 2026","passed","Tue Mar 24 18:58:44 UTC 2026","","","",""
"","289","calls handleError with ruleType when creating a rule fails","Rule Form","Tue Mar 24 18:58:02 UTC 2026","passed","Tue Mar 24 18:58:03 UTC 2026","","","",""
"","293","sets secondarySearch=id and searchType=node when primarySearch is falsey","ContextMenu","Tue Mar 24 18:58:30 UTC 2026","passed","Tue Mar 24 18:58:31 UTC 2026","","","",""
"Test cases for TestResources_PreviewSelectors","0","TestResources_PreviewSelectors","","Tue Mar 24 18:56:42 UTC 2026","passed","Tue Mar 24 18:56:42 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_PreviewSelectors","TestResources_PreviewSelectors"
"","0","abbreviates thousands, millions, billions, trillions as expected","numberFormatting","Tue Mar 24 19:00:08 UTC 2026","passed","Tue Mar 24 19:00:08 UTC 2026","","","",""
"","10249","checking a subcategory updates all children (edge types) in its group","Pathfinding","Tue Mar 24 18:59:21 UTC 2026","passed","Tue Mar 24 18:59:31 UTC 2026","","","",""
"Test cases for TestGetMFAActivationStatus_Success","0","TestGetMFAActivationStatus_Success","","Tue Mar 24 18:57:14 UTC 2026","passed","Tue Mar 24 18:57:14 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestGetMFAActivationStatus_Success","TestGetMFAActivationStatus_Success"
"","74","hides loading state when data is available","SourceKindsCheckboxes","Tue Mar 24 18:59:28 UTC 2026","passed","Tue Mar 24 18:59:28 UTC 2026","","","",""
"Test cases for TestResources_ListADEntityPSRemoteRights","1","TestResources_ListADEntityPSRemoteRights","","Tue Mar 24 18:56:42 UTC 2026","passed","Tue Mar 24 18:56:42 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListADEntityPSRemoteRights","TestResources_ListADEntityPSRemoteRights"
"Test cases for TestAddOrderByToNeo4jQuery_NoOrderByClause","0","TestAddOrderByToNeo4jQuery_NoOrderByClause","","Tue Mar 24 18:56:42 UTC 2026","passed","Tue Mar 24 18:56:42 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestAddOrderByToNeo4jQuery_NoOrderByClause","TestAddOrderByToNeo4jQuery_NoOrderByClause"
"","216","displays loading state","SourceKindsCheckboxes","Tue Mar 24 18:59:28 UTC 2026","passed","Tue Mar 24 18:59:28 UTC 2026","","","",""
"","154","calls onClose when user clicks cancel","PasswordDialog","Tue Mar 24 18:58:07 UTC 2026","passed","Tue Mar 24 18:58:07 UTC 2026","","","",""
"Test cases for TestResources_ListADGPOAffectedComputers","0","TestResources_ListADGPOAffectedComputers","","Tue Mar 24 18:56:42 UTC 2026","passed","Tue Mar 24 18:56:42 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListADGPOAffectedComputers","TestResources_ListADGPOAffectedComputers"
"","4","matches all AD edges","Make sure pathfinding filterable edges match schemagen","Tue Mar 24 19:02:12 UTC 2026","passed","Tue Mar 24 19:02:12 UTC 2026","","","",""
"","9","removes a notification","AppNotifications","Tue Mar 24 19:00:57 UTC 2026","passed","Tue Mar 24 19:00:57 UTC 2026","","","",""
"","0","returns disabled config when any required param is falsey","useExploreGraph","Tue Mar 24 18:59:33 UTC 2026","passed","Tue Mar 24 18:59:33 UTC 2026","relationship search queries","exploreGraphQueryFactory","",""
