"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","161","Calls the `Base` endpoint for a LocalGroup type node","EntityObjectInformation","Thu May 07 19:35:50 UTC 2026","passed","Thu May 07 19:35:50 UTC 2026","","","",""
"Test cases for TestResources_CreateSavedQuery","0","TestResources_CreateSavedQuery","","Thu May 07 19:32:07 UTC 2026","passed","Thu May 07 19:32:07 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_CreateSavedQuery","TestResources_CreateSavedQuery"
"","764","should render an update user form","UpdateUserDialog","Thu May 07 19:33:48 UTC 2026","passed","Thu May 07 19:33:49 UTC 2026","","","",""
"Test cases for TestManagementResource_UpdateUser_LookupActiveSessionsError","1145","TestManagementResource_UpdateUser_LookupActiveSessionsError","","Thu May 07 19:32:27 UTC 2026","passed","Thu May 07 19:32:28 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_UpdateUser_LookupActiveSessionsError","TestManagementResource_UpdateUser_LookupActiveSessionsError"
"","73","renders note header correctly","HistoryNotes Component","Thu May 07 19:37:53 UTC 2026","passed","Thu May 07 19:37:53 UTC 2026","","","",""
"","3","should return null if the edge key does not have enough information","getEdgeDataFromKey","Thu May 07 19:39:21 UTC 2026","passed","Thu May 07 19:39:21 UTC 2026","","","",""
"","840","renders a button and a menu","CreateMenu","Thu May 07 19:34:55 UTC 2026","passed","Thu May 07 19:34:56 UTC 2026","","oidc_support feature flag enabled","",""
"","24","renders nothing if flag is disabled and disabled prop is not provided","FeatureFlag","Thu May 07 19:37:04 UTC 2026","passed","Thu May 07 19:37:04 UTC 2026","","","",""
"Test cases for TestManagementResource_GetRole","39814","TestManagementResource_GetRole","","Thu May 07 19:32:13 UTC 2026","passed","Thu May 07 19:32:53 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_GetRole","TestManagementResource_GetRole"
"","120","calls onClick when toggle button clicked","EarlyAccessFeatureToggle","Thu May 07 19:39:14 UTC 2026","passed","Thu May 07 19:39:14 UTC 2026","","","",""
"","41","sets autoDisplayTable to false if query returns nodes only but the enabled prop is false","useExploreTableAutoDisplay","Thu May 07 19:37:07 UTC 2026","passed","Thu May 07 19:37:07 UTC 2026","","","",""
"Test cases for TestNewRewriter","0","TestNewRewriter","","Thu May 07 19:32:12 UTC 2026","passed","Thu May 07 19:32:12 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/queries/TestNewRewriter","TestNewRewriter"
"Test cases for TestManagementResource_ListAuthTokens_InvalidFilterPredicate","0","TestManagementResource_ListAuthTokens_InvalidFilterPredicate","","Thu May 07 19:32:37 UTC 2026","passed","Thu May 07 19:32:37 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_ListAuthTokens_InvalidFilterPredicate","TestManagementResource_ListAuthTokens_InvalidFilterPredicate"
"","733","sets the selectedItem param and closes popper when a node is selected","GraphControls","Thu May 07 19:34:18 UTC 2026","passed","Thu May 07 19:34:19 UTC 2026","","Searching current results","",""
"Test cases for TestResources_ExportSavedQueries","23","TestResources_ExportSavedQueries","","Thu May 07 19:32:07 UTC 2026","passed","Thu May 07 19:32:07 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ExportSavedQueries","TestResources_ExportSavedQueries"
"","286","should display filter dropwdowns","CommonSearches","Thu May 07 19:34:45 UTC 2026","passed","Thu May 07 19:34:46 UTC 2026","","","",""
"Test cases for Test_GetAssetGroupMembersBySelector","3","Test_GetAssetGroupMembersBySelector","","Thu May 07 19:32:07 UTC 2026","passed","Thu May 07 19:32:07 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/Test_GetAssetGroupMembersBySelector","Test_GetAssetGroupMembersBySelector"
"","30","sets input text to value","ManagedDatePicker - value","Thu May 07 19:35:52 UTC 2026","passed","Thu May 07 19:35:52 UTC 2026","","","",""
"Test cases for TestValidateRequestSignature","222","TestValidateRequestSignature","","Thu May 07 19:31:45 UTC 2026","passed","Thu May 07 19:31:45 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestValidateRequestSignature","TestValidateRequestSignature"
