"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test cases for TestBoolFromPtr","0","TestBoolFromPtr","","Wed Jun 10 20:24:40 UTC 2026","passed","Wed Jun 10 20:24:40 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestBoolFromPtr","TestBoolFromPtr"
"","2","treats a missing key as null when computing the next value","useLocalStorage","Wed Jun 10 20:27:35 UTC 2026","passed","Wed Jun 10 20:27:35 UTC 2026","","functional updater","",""
"","53","adds a notification - checks values","AppNotifications","Wed Jun 10 20:29:06 UTC 2026","passed","Wed Jun 10 20:29:06 UTC 2026","","","",""
"Test cases for Test_sortAndSliceResults_sorting","0","Test_sortAndSliceResults_sorting","","Wed Jun 10 20:24:42 UTC 2026","passed","Wed Jun 10 20:24:42 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/queries/Test_sortAndSliceResults_sorting","Test_sortAndSliceResults_sorting"
"","25","tag members refetches on environment change","the useAssetGroupTags utilities","Wed Jun 10 20:27:02 UTC 2026","passed","Wed Jun 10 20:27:02 UTC 2026","","","",""
"Test cases for TestWriteResultJson","0","TestWriteResultJson","","Wed Jun 10 20:25:03 UTC 2026","passed","Wed Jun 10 20:25:03 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/utils/TestWriteResultJson","TestWriteResultJson"
"Test cases for TestResources_GetAssetGroup","0","TestResources_GetAssetGroup","","Wed Jun 10 20:24:38 UTC 2026","passed","Wed Jun 10 20:24:38 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_GetAssetGroup","TestResources_GetAssetGroup"
"","1024","shows a table with partially completed jobs","FileIngestTable","Wed Jun 10 20:26:10 UTC 2026","passed","Wed Jun 10 20:26:11 UTC 2026","","","",""
"","1992","Clicking header allows user to sort by column","ExploreTable","Wed Jun 10 20:25:08 UTC 2026","passed","Wed Jun 10 20:25:10 UTC 2026","","","",""
"","159","does not highlight any layout option on first load when no layout has been manually selected","GraphControls","Wed Jun 10 20:25:29 UTC 2026","passed","Wed Jun 10 20:25:29 UTC 2026","","Selecting a layout","",""
"Test cases for TestParseGPOData","5","TestParseGPOData","","Wed Jun 10 20:25:05 UTC 2026","passed","Wed Jun 10 20:25:05 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/ein/TestParseGPOData","TestParseGPOData"
"","12","should render a Field when the provided value is -0","Field","Wed Jun 10 20:29:46 UTC 2026","passed","Wed Jun 10 20:29:46 UTC 2026","","","",""
"Test cases for TestResources_StartIngestJob","119","TestResources_StartIngestJob","","Wed Jun 10 20:24:38 UTC 2026","passed","Wed Jun 10 20:24:38 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_StartIngestJob","TestResources_StartIngestJob"
"","0","Empty input is provided","Parsing the debounced input for type and keyword values","Wed Jun 10 20:28:42 UTC 2026","passed","Wed Jun 10 20:28:42 UTC 2026","","","",""
"","840","executes a primary search when only a source node is provided","Pathfinding: interaction","Wed Jun 10 20:27:44 UTC 2026","passed","Wed Jun 10 20:27:45 UTC 2026","","","",""
"Test cases for Test_ParseAndValidatePayload","10","Test_ParseAndValidatePayload","","Wed Jun 10 20:24:58 UTC 2026","passed","Wed Jun 10 20:24:58 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/services/upload/Test_ParseAndValidatePayload","Test_ParseAndValidatePayload"
"","37","shows the direct object empty and expanded object list empty, when no results in both","Seed Selection Results","Wed Jun 10 20:26:59 UTC 2026","passed","Wed Jun 10 20:26:59 UTC 2026","","","",""
"","55","passes data to testing component","SavedQueriesProvider","Wed Jun 10 20:30:02 UTC 2026","passed","Wed Jun 10 20:30:02 UTC 2026","","","",""
"","0","reports an API error when the name for the rule is not unique","handleError","Wed Jun 10 20:26:42 UTC 2026","passed","Wed Jun 10 20:26:42 UTC 2026","","","",""
"Test cases for TestResources_ListADComputerRDPUsers","0","TestResources_ListADComputerRDPUsers","","Wed Jun 10 20:24:38 UTC 2026","passed","Wed Jun 10 20:24:38 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListADComputerRDPUsers","TestResources_ListADComputerRDPUsers"
"Test cases for Test_validateGraphExtension","1","Test_validateGraphExtension","","Wed Jun 10 20:24:40 UTC 2026","passed","Wed Jun 10 20:24:40 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/model/Test_validateGraphExtension","Test_validateGraphExtension"
"Test cases for TestResources_ListADEntityControllables","0","TestResources_ListADEntityControllables","","Wed Jun 10 20:24:38 UTC 2026","passed","Wed Jun 10 20:24:38 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListADEntityControllables","TestResources_ListADEntityControllables"
"Test cases for TestResources_ListADDomainOutboundTrusts","0","TestResources_ListADDomainOutboundTrusts","","Wed Jun 10 20:24:38 UTC 2026","passed","Wed Jun 10 20:24:38 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListADDomainOutboundTrusts","TestResources_ListADDomainOutboundTrusts"
"","0","A type and keyword were provided but there were no results available","Getting the text for the disabled item display for a search when there are no results","Wed Jun 10 20:28:42 UTC 2026","passed","Wed Jun 10 20:28:42 UTC 2026","","Empty data states","",""
"Test cases for TestError","0","TestError","","Wed Jun 10 20:24:17 UTC 2026","passed","Wed Jun 10 20:24:17 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestError","TestError"
"","15","disables the upload button and does not populate a table if the user lacks the permission","File Upload","Wed Jun 10 20:27:50 UTC 2026","passed","Wed Jun 10 20:27:50 UTC 2026","","","",""
"Test cases for TestMatches_FailureStatus","1","TestMatches_FailureStatus","","Wed Jun 10 20:24:40 UTC 2026","passed","Wed Jun 10 20:24:40 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/model/TestMatches_FailureStatus","TestMatches_FailureStatus"
"Test cases for TestResources_ListAuditLogs_InvalidSkip","0","TestResources_ListAuditLogs_InvalidSkip","","Wed Jun 10 20:24:38 UTC 2026","passed","Wed Jun 10 20:24:38 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListAuditLogs_InvalidSkip","TestResources_ListAuditLogs_InvalidSkip"
"","756","renders a button and a menu","CreateMenu","Wed Jun 10 20:27:17 UTC 2026","passed","Wed Jun 10 20:27:18 UTC 2026","","oidc_support feature flag enabled","",""
"","1348","should render","EntityInfoHeader","Wed Jun 10 20:28:41 UTC 2026","passed","Wed Jun 10 20:28:42 UTC 2026","","","",""
"","30","does not set input text if no value is given","ManagedDatePicker - value","Wed Jun 10 20:28:08 UTC 2026","passed","Wed Jun 10 20:28:08 UTC 2026","","","",""
"","11","adds expected text alignment class depending on the textAlign prop","ColumnHeaders","Wed Jun 10 20:28:09 UTC 2026","passed","Wed Jun 10 20:28:09 UTC 2026","","BaseColumnHeader","",""
"Test cases for TestCacheEntryDigester_DigestEndpoint_JSONMarshalError","0","TestCacheEntryDigester_DigestEndpoint_JSONMarshalError","","Wed Jun 10 20:24:45 UTC 2026","passed","Wed Jun 10 20:24:45 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/services/graphify/endpoint/TestCacheEntryDigester_DigestEndpoint_JSONMarshalError","TestCacheEntryDigester_DigestEndpoint_JSONMarshalError"
"","1","filters by collected=false when ""no"" filter is active","filterAndSearchEnvironments","Wed Jun 10 20:25:33 UTC 2026","passed","Wed Jun 10 20:25:33 UTC 2026","","collected filters","",""
"","275","clears selected item when pathfinding search returns results","GraphView","Wed Jun 10 20:30:51 UTC 2026","passed","Wed Jun 10 20:30:51 UTC 2026","","","",""
"","206","Verify Vault Reader count is the count returned by All Readers","EntityInfoDataTable","Wed Jun 10 20:26:51 UTC 2026","passed","Wed Jun 10 20:26:51 UTC 2026","","Node count for Vault Readers nested table","",""
"","6","uses the default filename generator when exporting JSON","exportGraphData","Wed Jun 10 20:29:42 UTC 2026","passed","Wed Jun 10 20:29:42 UTC 2026","","","",""
"","4326","search forces sections to expand when there is a match","Pathfinding","Wed Jun 10 20:26:29 UTC 2026","passed","Wed Jun 10 20:26:34 UTC 2026","","","",""
"","229","should render with the correct content","ConfirmUpdateQueryDialog","Wed Jun 10 20:29:57 UTC 2026","passed","Wed Jun 10 20:29:58 UTC 2026","","","",""
"","303","has user filters","FileIngestFilterDialog","Wed Jun 10 20:26:49 UTC 2026","passed","Wed Jun 10 20:26:50 UTC 2026","","User Select","",""
"Test cases for TestResources_DeleteAssetGroupSelector","0","TestResources_DeleteAssetGroupSelector","","Wed Jun 10 20:24:38 UTC 2026","passed","Wed Jun 10 20:24:38 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_DeleteAssetGroupSelector","TestResources_DeleteAssetGroupSelector"
