"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7","announces a polite message (default priority)","AnnouncementProvider","Fri Jun 05 02:57:01 UTC 2026","passed","Fri Jun 05 02:57:01 UTC 2026","","","",""
"Test cases for TestResources_UpdateSavedQuery_QueryBelongsToAnotherUser","0","TestResources_UpdateSavedQuery_QueryBelongsToAnotherUser","","Fri Jun 05 02:52:09 UTC 2026","passed","Fri Jun 05 02:52:09 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_UpdateSavedQuery_QueryBelongsToAnotherUser","TestResources_UpdateSavedQuery_QueryBelongsToAnotherUser"
"","376","closes the dialog when the ""Cancel"" button is clicked","SchemaUploadDialog","Fri Jun 05 02:54:51 UTC 2026","passed","Fri Jun 05 02:54:52 UTC 2026","","","",""
"","2822","resets skip to 0 when filters change so rows are visible on the new result set","FileIngestTable","Fri Jun 05 02:54:24 UTC 2026","passed","Fri Jun 05 02:54:26 UTC 2026","","pagination reset","",""
"","0","returns fallback Cypher message when ruleType is undefined and seeds are required","getErrorMessage","Fri Jun 05 02:54:56 UTC 2026","passed","Fri Jun 05 02:54:56 UTC 2026","","","",""
"","0","returns false if arrays have different length","areArraysSimilar","Fri Jun 05 02:58:31 UTC 2026","passed","Fri Jun 05 02:58:31 UTC 2026","","","",""
"","46","renders GraphButton with correct text","GraphControls","Fri Jun 05 02:53:36 UTC 2026","passed","Fri Jun 05 02:53:36 UTC 2026","","Searching current results","",""
"","74","should on clicking collapse all remove expandedPanelSections param from url and set isObjectInfoPanelOpen in context to false","EdgeInfoHeader","Fri Jun 05 02:57:22 UTC 2026","passed","Fri Jun 05 02:57:22 UTC 2026","","","",""
"Test cases for TestStringEqual","0","TestStringEqual","","Fri Jun 05 02:52:13 UTC 2026","passed","Fri Jun 05 02:52:13 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestStringEqual","TestStringEqual"
"","158","temporarily displays the checkmark icon after clicking copy","ExploreTableDataCell","Fri Jun 05 02:58:10 UTC 2026","passed","Fri Jun 05 02:58:10 UTC 2026","","","",""
"","0","returns all collected environments when aggegation type is all","getEnvironmentAggregationIds","Fri Jun 05 02:53:40 UTC 2026","passed","Fri Jun 05 02:53:40 UTC 2026","","","",""
"","471","displays current password error messages when current password is empty","PasswordDialog","Fri Jun 05 02:54:02 UTC 2026","passed","Fri Jun 05 02:54:02 UTC 2026","","","",""
