"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","80","allows a consumer to swap the values of the two inputs and update the query params accordingly","usePathfindingSearch","Tue Jul 07 19:51:21 UTC 2026","passed","Tue Jul 07 19:51:21 UTC 2026","","","",""
"","1892","should display search results when the user enters text","AssetGroupEdit","Tue Jul 07 19:52:12 UTC 2026","passed","Tue Jul 07 19:52:14 UTC 2026","","","",""
"","1863","should render search input","Pathfinding","Tue Jul 07 19:49:15 UTC 2026","passed","Tue Jul 07 19:49:16 UTC 2026","","","",""
"Test cases for TestResources_ListADIssuancePolicyLinkedCertTemplates","140","TestResources_ListADIssuancePolicyLinkedCertTemplates","","Tue Jul 07 19:47:40 UTC 2026","passed","Tue Jul 07 19:47:40 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListADIssuancePolicyLinkedCertTemplates","TestResources_ListADIssuancePolicyLinkedCertTemplates"
"Test cases for TestOpenGraphSchemaService_ListExtensions","1","TestOpenGraphSchemaService_ListExtensions","","Tue Jul 07 19:47:51 UTC 2026","passed","Tue Jul 07 19:47:51 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/services/opengraphschema/TestOpenGraphSchemaService_ListExtensions","TestOpenGraphSchemaService_ListExtensions"
"Test cases for TestAnalysisPipelineResultErrors","2","TestAnalysisPipelineResultErrors","","Tue Jul 07 19:48:07 UTC 2026","passed","Tue Jul 07 19:48:07 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/analysis/TestAnalysisPipelineResultErrors","TestAnalysisPipelineResultErrors"
"","368","renders a snackbar notification in the dom and tests autoHideDuration","AppNotifications","Tue Jul 07 19:52:45 UTC 2026","passed","Tue Jul 07 19:52:45 UTC 2026","","","",""
"","94","should redirect to nested /file-ingest route if user navigates to /","Administration","Tue Jul 07 19:55:09 UTC 2026","passed","Tue Jul 07 19:55:09 UTC 2026","","","",""
"Test cases for TestCreateUser_Success","1398","TestCreateUser_Success","","Tue Jul 07 19:47:47 UTC 2026","passed","Tue Jul 07 19:47:49 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestCreateUser_Success","TestCreateUser_Success"
"","100","does not highlight any layout option on first load when no layout has been manually selected","GraphControls","Tue Jul 07 19:49:03 UTC 2026","passed","Tue Jul 07 19:49:03 UTC 2026","","Selecting a layout","",""
"","357","should call ""onSave"" one time","Enable2FADialog","Tue Jul 07 19:52:38 UTC 2026","passed","Tue Jul 07 19:52:38 UTC 2026","user clicks ""Disable Multi-Factor Authentication"" button","user enters valid password","",""
"Test cases for TestMergedFS_Open","0","TestMergedFS_Open","","Tue Jul 07 19:47:45 UTC 2026","passed","Tue Jul 07 19:47:45 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/migration/TestMergedFS_Open","TestMergedFS_Open"
"Test cases for TestResources_DeleteSavedQuery_NotAUserAuth","0","TestResources_DeleteSavedQuery_NotAUserAuth","","Tue Jul 07 19:47:40 UTC 2026","passed","Tue Jul 07 19:47:40 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_DeleteSavedQuery_NotAUserAuth","TestResources_DeleteSavedQuery_NotAUserAuth"
"","196","passes item props to Header and Content","<DetailsAccordion />","Tue Jul 07 19:50:32 UTC 2026","passed","Tue Jul 07 19:50:32 UTC 2026","","","",""
"Test cases for TestResources_ListKinds","52","TestResources_ListKinds","","Tue Jul 07 19:47:40 UTC 2026","passed","Tue Jul 07 19:47:40 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListKinds","TestResources_ListKinds"
"","589","triggers a file download when a download button is clicked","DownloadCollectors","Tue Jul 07 19:54:46 UTC 2026","passed","Tue Jul 07 19:54:46 UTC 2026","","","",""
"","13","renders nothing if flag is disabled and disabled prop is not provided","FeatureFlag","Tue Jul 07 19:52:56 UTC 2026","passed","Tue Jul 07 19:52:56 UTC 2026","","","",""
"Test cases for TestStorageFileService_WriteFile","23","TestStorageFileService_WriteFile","","Tue Jul 07 19:48:30 UTC 2026","passed","Tue Jul 07 19:48:30 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/storage/TestStorageFileService_WriteFile","TestStorageFileService_WriteFile"
"Test cases for TestSignRequestSuccess","0","TestSignRequestSuccess","","Tue Jul 07 19:47:29 UTC 2026","passed","Tue Jul 07 19:47:29 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestSignRequestSuccess","TestSignRequestSuccess"
"Test cases for TestUnique","0","TestUnique","","Tue Jul 07 19:48:26 UTC 2026","passed","Tue Jul 07 19:48:26 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/slicesext/TestUnique","TestUnique"
"","136","highlights the selectedLayout when isExploreLayoutSelected is true","GraphControls","Tue Jul 07 19:49:03 UTC 2026","passed","Tue Jul 07 19:49:03 UTC 2026","","Selecting a layout","",""
"Test cases for Test_filterAndFormatSearchResults_includeOpenGraphNodes","0","Test_filterAndFormatSearchResults_includeOpenGraphNodes","","Tue Jul 07 19:47:40 UTC 2026","passed","Tue Jul 07 19:47:40 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/Test_filterAndFormatSearchResults_includeOpenGraphNodes","Test_filterAndFormatSearchResults_includeOpenGraphNodes"
"","44","renders a button","CreateMenu","Tue Jul 07 19:50:48 UTC 2026","passed","Tue Jul 07 19:50:48 UTC 2026","","oidc_support feature flag disabled","",""
"Test cases for TestBoolSetValid","0","TestBoolSetValid","","Tue Jul 07 19:47:45 UTC 2026","passed","Tue Jul 07 19:47:45 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestBoolSetValid","TestBoolSetValid"
"","37","shows the direct object empty and expanded object list empty, when no results in both","Seed Selection Results","Tue Jul 07 19:50:27 UTC 2026","passed","Tue Jul 07 19:50:27 UTC 2026","","","",""
"Test cases for TestFlatMap","0","TestFlatMap","","Tue Jul 07 19:48:26 UTC 2026","passed","Tue Jul 07 19:48:26 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/slicesext/TestFlatMap","TestFlatMap"
"Test cases for TestUnmarshalNonIntegerNumberToInt64","0","TestUnmarshalNonIntegerNumberToInt64","","Tue Jul 07 19:47:45 UTC 2026","passed","Tue Jul 07 19:47:45 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestUnmarshalNonIntegerNumberToInt64","TestUnmarshalNonIntegerNumberToInt64"
"Test cases for TestDomainSelectors_GetFilterCriteria_Domain","0","TestDomainSelectors_GetFilterCriteria_Domain","","Tue Jul 07 19:47:46 UTC 2026","passed","Tue Jul 07 19:47:46 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/model/TestDomainSelectors_GetFilterCriteria_Domain","TestDomainSelectors_GetFilterCriteria_Domain"
