"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test cases for TestManagementResource_UpdateUser_GetUserError","867","TestManagementResource_UpdateUser_GetUserError","","Fri Mar 06 01:45:05 UTC 2026","passed","Fri Mar 06 01:45:06 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_UpdateUser_GetUserError","TestManagementResource_UpdateUser_GetUserError"
"Test cases for Test_convertGraphExtensionPayloadToGraphExtension","0","Test_convertGraphExtensionPayloadToGraphExtension","","Fri Mar 06 01:44:54 UTC 2026","passed","Fri Mar 06 01:44:54 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/Test_convertGraphExtensionPayloadToGraphExtension","Test_convertGraphExtensionPayloadToGraphExtension"
"","263","sets a primarySearch=id and searchType=pathfinding when secondarySearch is truthy","ContextMenu","Fri Mar 06 01:51:10 UTC 2026","passed","Fri Mar 06 01:51:11 UTC 2026","","","",""
"Test cases for TestGetADDataQualityStats_Success","0","TestGetADDataQualityStats_Success","","Fri Mar 06 01:44:54 UTC 2026","passed","Fri Mar 06 01:44:54 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestGetADDataQualityStats_Success","TestGetADDataQualityStats_Success"
"","233","should not call onSubmit when input is invalid and Submit button is clicked","UpsertSAMLProviderForm","Fri Mar 06 01:49:17 UTC 2026","passed","Fri Mar 06 01:49:17 UTC 2026","","","",""
"Test cases for TestGetLimitParamForGraphQuery","0","TestGetLimitParamForGraphQuery","","Fri Mar 06 01:45:15 UTC 2026","passed","Fri Mar 06 01:45:15 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/utils/TestGetLimitParamForGraphQuery","TestGetLimitParamForGraphQuery"
"Test cases for TestSavedQueries_ValidFilters","0","TestSavedQueries_ValidFilters","","Fri Mar 06 01:45:01 UTC 2026","passed","Fri Mar 06 01:45:01 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/model/TestSavedQueries_ValidFilters","TestSavedQueries_ValidFilters"
"Test cases for TestNormalizeToUTF8_ReaderError","0","TestNormalizeToUTF8_ReaderError","","Fri Mar 06 01:45:20 UTC 2026","passed","Fri Mar 06 01:45:20 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/bomenc/TestNormalizeToUTF8_ReaderError","TestNormalizeToUTF8_ReaderError"
"Test cases for TestConvertOUToNode_InheritanceHashes","0","TestConvertOUToNode_InheritanceHashes","","Fri Mar 06 01:45:21 UTC 2026","passed","Fri Mar 06 01:45:21 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/ein/TestConvertOUToNode_InheritanceHashes","TestConvertOUToNode_InheritanceHashes"
"","17","renders note content when currentNote is present","HistoryNotes Component","Fri Mar 06 01:50:14 UTC 2026","passed","Fri Mar 06 01:50:14 UTC 2026","","","",""
