"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test cases for TestNormalizeToUTF8","0","TestNormalizeToUTF8","","Fri Jul 10 19:22:27 UTC 2026","passed","Fri Jul 10 19:22:27 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/bomenc/TestNormalizeToUTF8","TestNormalizeToUTF8"
"","1236","displays validation error messages when password does not meet requirements","PasswordDialog","Fri Jul 10 19:23:34 UTC 2026","passed","Fri Jul 10 19:23:35 UTC 2026","","","",""
"","76","is disabled if no filters are active","AssetGroupEdit","Fri Jul 10 19:25:19 UTC 2026","passed","Fri Jul 10 19:25:19 UTC 2026","","Clear Filters button","",""
"","363","The edge properties are fetched through a cypher search which includes lastseen","EdgeObjectInformation","Fri Jul 10 19:26:38 UTC 2026","passed","Fri Jul 10 19:26:38 UTC 2026","","","",""
"","120","buttons are disabled while loading","LoginForm","Fri Jul 10 19:28:02 UTC 2026","passed","Fri Jul 10 19:28:02 UTC 2026","","","",""
"Test cases for TestResources_ListADComputerRDPUsers","0","TestResources_ListADComputerRDPUsers","","Fri Jul 10 19:21:59 UTC 2026","passed","Fri Jul 10 19:21:59 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListADComputerRDPUsers","TestResources_ListADComputerRDPUsers"
"","209","renders","EarlyAccessFeatureToggle","Fri Jul 10 19:29:58 UTC 2026","passed","Fri Jul 10 19:29:58 UTC 2026","","","",""
"","449","should display a ""Change Password"" modal","UserProfile","Fri Jul 10 19:25:31 UTC 2026","passed","Fri Jul 10 19:25:31 UTC 2026","","""Reset Password"" button is clicked","",""
"Test cases for TestDomainSelectors_GetFilterCriteria_Domain","0","TestDomainSelectors_GetFilterCriteria_Domain","","Fri Jul 10 19:22:04 UTC 2026","passed","Fri Jul 10 19:22:04 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/model/TestDomainSelectors_GetFilterCriteria_Domain","TestDomainSelectors_GetFilterCriteria_Domain"
"","340","calls onResetColumnSize when ""Reset Size"" is clicked","ManageColumnsComboBox","Fri Jul 10 19:25:08 UTC 2026","passed","Fri Jul 10 19:25:08 UTC 2026","","","",""
"","61","displays no data message when there are no extensions","ActiveExtensionsCard","Fri Jul 10 19:23:17 UTC 2026","passed","Fri Jul 10 19:23:17 UTC 2026","","","",""
