"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","36","should highlight main nav route when navigating to child route","Main Nav Route Highlighting","Wed Jun 10 02:55:57 UTC 2026","passed","Wed Jun 10 02:55:57 UTC 2026","","","",""
"TestGooseMigrationFilenamesUseCurrentVersionPrefix is utilized to ensure that all migration files are named accordingto the set naming convention.","2","TestGooseMigrationFilenamesUseCurrentVersionPrefix","","Wed Jun 10 02:52:51 UTC 2026","passed","Wed Jun 10 02:52:51 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/migration/TestGooseMigrationFilenamesUseCurrentVersionPrefix","TestGooseMigrationFilenamesUseCurrentVersionPrefix"
"","173","should show a copy button if the cells text if the cell is not a boolean","ExploreTableDataCell","Wed Jun 10 02:58:04 UTC 2026","passed","Wed Jun 10 02:58:04 UTC 2026","","","",""
"","907","should display all available roles","CreateUserDialog","Wed Jun 10 02:54:19 UTC 2026","passed","Wed Jun 10 02:54:20 UTC 2026","","","",""
"Test cases for TestResources_ListAuditLogs","0","TestResources_ListAuditLogs","","Wed Jun 10 02:52:50 UTC 2026","passed","Wed Jun 10 02:52:50 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListAuditLogs","TestResources_ListAuditLogs"
"","2356","search highlights matching substring with text-link class","Pathfinding","Wed Jun 10 02:54:49 UTC 2026","passed","Wed Jun 10 02:54:51 UTC 2026","","","",""
"Test cases for TestGetADDataQualityStats_Success","0","TestGetADDataQualityStats_Success","","Wed Jun 10 02:52:50 UTC 2026","passed","Wed Jun 10 02:52:50 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestGetADDataQualityStats_Success","TestGetADDataQualityStats_Success"
"Test cases for TestResources_ListADComputerConstrainedDelegationUsers","1","TestResources_ListADComputerConstrainedDelegationUsers","","Wed Jun 10 02:52:50 UTC 2026","passed","Wed Jun 10 02:52:50 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListADComputerConstrainedDelegationUsers","TestResources_ListADComputerConstrainedDelegationUsers"
"","518","filters by the selected status","FileIngestFilterDialog","Wed Jun 10 02:55:08 UTC 2026","passed","Wed Jun 10 02:55:09 UTC 2026","","Status Select","",""
"Test cases for TestResources_UpdateSavedQuery_QueryBelongsToAnotherUser","0","TestResources_UpdateSavedQuery_QueryBelongsToAnotherUser","","Wed Jun 10 02:52:50 UTC 2026","passed","Wed Jun 10 02:52:50 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_UpdateSavedQuery_QueryBelongsToAnotherUser","TestResources_UpdateSavedQuery_QueryBelongsToAnotherUser"
"Test cases for TestResources_GetEdgeACLInheritancePath","107","TestResources_GetEdgeACLInheritancePath","","Wed Jun 10 02:52:50 UTC 2026","passed","Wed Jun 10 02:52:50 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_GetEdgeACLInheritancePath","TestResources_GetEdgeACLInheritancePath"
"Helper to verify that encodeAnyValue handles standard types correctly","0","TestEncodeAnyValue","","Wed Jun 10 02:52:55 UTC 2026","passed","Wed Jun 10 02:52:55 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/services/graphify/endpoint/TestEncodeAnyValue","TestEncodeAnyValue"
