"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test cases for TestUnique","0","TestUnique","","Thu Jul 23 02:14:17 UTC 2026","passed","Thu Jul 23 02:14:17 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/slicesext/TestUnique","TestUnique"
"Test cases for TestResources_UpdateSavedQuery_QueryBelongsToAnotherUser","0","TestResources_UpdateSavedQuery_QueryBelongsToAnotherUser","","Thu Jul 23 02:13:21 UTC 2026","passed","Thu Jul 23 02:13:21 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_UpdateSavedQuery_QueryBelongsToAnotherUser","TestResources_UpdateSavedQuery_QueryBelongsToAnotherUser"
"Test cases for TestResources_CreateSavedQuery_CreateFailure","0","TestResources_CreateSavedQuery_CreateFailure","","Thu Jul 23 02:13:21 UTC 2026","passed","Thu Jul 23 02:13:21 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_CreateSavedQuery_CreateFailure","TestResources_CreateSavedQuery_CreateFailure"
"Test cases for TestResources_GetCertTemplateEntityInfo","271","TestResources_GetCertTemplateEntityInfo","","Thu Jul 23 02:13:21 UTC 2026","passed","Thu Jul 23 02:13:21 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_GetCertTemplateEntityInfo","TestResources_GetCertTemplateEntityInfo"
"","29","sets the document title using the app name from AppNameProvider","PageWithTitle","Thu Jul 23 02:19:47 UTC 2026","passed","Thu Jul 23 02:19:47 UTC 2026","","","",""
"","201","calls clickHandler when a line item is clicked","PrebuiltSearchList","Thu Jul 23 02:17:21 UTC 2026","passed","Thu Jul 23 02:17:21 UTC 2026","","","",""
"","8","`undefined` input is provided","parseKeywordAndTypeValue","Thu Jul 23 02:19:35 UTC 2026","passed","Thu Jul 23 02:19:35 UTC 2026","","","",""
"","0","abbreviates numbers larger than 1000 and should not round the tenth place digit","numberFormatting","Thu Jul 23 02:17:21 UTC 2026","passed","Thu Jul 23 02:17:21 UTC 2026","","","",""
"","230","toggles sort order when clicking sortable header","RulesAccordion","Thu Jul 23 02:17:30 UTC 2026","passed","Thu Jul 23 02:17:30 UTC 2026","","","",""
"","13","hides items when the user is missing a required permission","useSubNavRoutes","Thu Jul 23 02:17:01 UTC 2026","passed","Thu Jul 23 02:17:02 UTC 2026","","permissions gate","",""
"","1902","renders correct search elements after keypresses","GraphView","Thu Jul 23 02:20:22 UTC 2026","passed","Thu Jul 23 02:20:24 UTC 2026","","","",""
"Test cases for TestEncodingInterface","1","TestEncodingInterface","","Thu Jul 23 02:13:59 UTC 2026","passed","Thu Jul 23 02:13:59 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/bomenc/TestEncodingInterface","TestEncodingInterface"
"","52","should highlight selected route","Main Nav Route Highlighting","Thu Jul 23 02:16:40 UTC 2026","passed","Thu Jul 23 02:16:40 UTC 2026","","","",""
"","325","opens confirmation dialog when delete button is clicked","ActiveExtensionsCard","Thu Jul 23 02:14:25 UTC 2026","passed","Thu Jul 23 02:14:25 UTC 2026","","","",""
"","65","sorts items by position ascending","KindInfoItems","Thu Jul 23 02:16:45 UTC 2026","passed","Thu Jul 23 02:16:45 UTC 2026","","","",""
"Test cases for TestFoldr","0","TestFoldr","","Thu Jul 23 02:14:17 UTC 2026","passed","Thu Jul 23 02:14:17 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/slicesext/TestFoldr","TestFoldr"
"Test cases for TestRegister","0","TestRegister","","Thu Jul 23 02:14:22 UTC 2026","passed","Thu Jul 23 02:14:22 UTC 2026","","Go Test","github.com/specterops/bloodhound/server/analysis/internal/routes/TestRegister","TestRegister"
"","174","fires editQuery in context provider","ListItemActionMenu","Thu Jul 23 02:18:07 UTC 2026","passed","Thu Jul 23 02:18:07 UTC 2026","","","",""
"","0","passes ruleType through optionalParams with empty object","handleError","Thu Jul 23 02:15:43 UTC 2026","passed","Thu Jul 23 02:15:43 UTC 2026","","","",""
"","4","announces a message with assertive priority","AnnouncementProvider","Thu Jul 23 02:17:23 UTC 2026","passed","Thu Jul 23 02:17:23 UTC 2026","","","",""
"","3219","should render expand all and collapse all buttons","Pathfinding","Thu Jul 23 02:14:39 UTC 2026","passed","Thu Jul 23 02:14:42 UTC 2026","","","",""
"Test cases for TestResources_DeleteSavedQuery_DeleteError","0","TestResources_DeleteSavedQuery_DeleteError","","Thu Jul 23 02:13:21 UTC 2026","passed","Thu Jul 23 02:13:21 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_DeleteSavedQuery_DeleteError","TestResources_DeleteSavedQuery_DeleteError"
"Test cases for Test_filterAndFormatSearchResults","0","Test_filterAndFormatSearchResults","","Thu Jul 23 02:13:21 UTC 2026","passed","Thu Jul 23 02:13:21 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/Test_filterAndFormatSearchResults","Test_filterAndFormatSearchResults"
"","390","on clicking switch shows modal and when clicking cancel closes it and switch stays disabled","CitrixRDPConfiguration","Thu Jul 23 02:16:24 UTC 2026","passed","Thu Jul 23 02:16:24 UTC 2026","","Click on switch to enable","",""
"Test cases for TestRegister_PanicsOnNilRouter","0","TestRegister_PanicsOnNilRouter","","Thu Jul 23 02:14:31 UTC 2026","passed","Thu Jul 23 02:14:31 UTC 2026","","Go Test","github.com/specterops/bloodhound/server/modules/TestRegister_PanicsOnNilRouter","TestRegister_PanicsOnNilRouter"
"","230","opens the dialog when the button is clicked","SchemaUploadDialog","Thu Jul 23 02:15:34 UTC 2026","passed","Thu Jul 23 02:15:34 UTC 2026","","","",""
"","395","does fires TagToLabelDialog when the Label option is clicked","TagToZoneLabel","Thu Jul 23 02:14:16 UTC 2026","passed","Thu Jul 23 02:14:16 UTC 2026","","","",""
"","305","prevents a user from proceeding if the file is not valid","ImportQueryDialog","Thu Jul 23 02:19:41 UTC 2026","passed","Thu Jul 23 02:19:41 UTC 2026","","","",""
"","91","has no checked boxes by default","GraphDataCheckboxes","Thu Jul 23 02:14:25 UTC 2026","passed","Thu Jul 23 02:14:25 UTC 2026","","","",""
