"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","leaves double quotes untouched","escapeCypherString","Thu Jul 09 02:33:41 UTC 2026","passed","Thu Jul 09 02:33:41 UTC 2026","","","",""
"Test cases for TestMatches_FailureModel","0","TestMatches_FailureModel","","Thu Jul 09 02:27:21 UTC 2026","passed","Thu Jul 09 02:27:21 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/model/TestMatches_FailureModel","TestMatches_FailureModel"
"","0","returns paramValue as EnvironmentAggregation if paramValue is active-directory","useEnvironmentParams","Thu Jul 09 02:33:49 UTC 2026","passed","Thu Jul 09 02:33:49 UTC 2026","","parseEnvironmentAggregation","",""
"","1662","should call the setCypherQuery handler when the value in the editor changes","CypherSearch","Thu Jul 09 02:29:07 UTC 2026","passed","Thu Jul 09 02:29:08 UTC 2026","","","",""
"Test cases for TestLocalStore_Get","13","TestLocalStore_Get","","Thu Jul 09 02:28:05 UTC 2026","passed","Thu Jul 09 02:28:05 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/storage/TestLocalStore_Get","TestLocalStore_Get"
"","125","displays Force Password Reset checkbox when showNeedsPasswordReset is true","PasswordDialog","Thu Jul 09 02:28:55 UTC 2026","passed","Thu Jul 09 02:28:55 UTC 2026","","","",""
"Test cases for TestGetChainedDomains_IgnoresForestHosting","0","TestGetChainedDomains_IgnoresForestHosting","","Thu Jul 09 02:27:44 UTC 2026","passed","Thu Jul 09 02:27:44 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/analysis/ad/TestGetChainedDomains_IgnoresForestHosting","TestGetChainedDomains_IgnoresForestHosting"
"Test cases for TestResources_UpdateSavedQuery_ErrorFetchingPublicStatus","0","TestResources_UpdateSavedQuery_ErrorFetchingPublicStatus","","Thu Jul 09 02:27:15 UTC 2026","passed","Thu Jul 09 02:27:15 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_UpdateSavedQuery_ErrorFetchingPublicStatus","TestResources_UpdateSavedQuery_ErrorFetchingPublicStatus"
"","1","adds email filter if madeBy contains ""@""","createHistoryParams","Thu Jul 09 02:32:55 UTC 2026","passed","Thu Jul 09 02:32:55 UTC 2026","","","",""
"Test cases for TestWritePaginated","2","TestWritePaginated","","Thu Jul 09 02:27:48 UTC 2026","passed","Thu Jul 09 02:27:48 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/responses/TestWritePaginated","TestWritePaginated"
"","191","shows a loading state","FileIngestTable","Thu Jul 09 02:29:17 UTC 2026","passed","Thu Jul 09 02:29:17 UTC 2026","","","",""
"Test cases for TestResources_CreateSavedQuery","0","TestResources_CreateSavedQuery","","Thu Jul 09 02:27:15 UTC 2026","passed","Thu Jul 09 02:27:15 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_CreateSavedQuery","TestResources_CreateSavedQuery"
"","119","renders object information for an OpenGraph object","Selected Details Tab Content","Thu Jul 09 02:31:51 UTC 2026","passed","Thu Jul 09 02:31:51 UTC 2026","","","",""
"Test cases for Test_filterAndFormatSearchResults_includeOpenGraphNodes","0","Test_filterAndFormatSearchResults_includeOpenGraphNodes","","Thu Jul 09 02:27:15 UTC 2026","passed","Thu Jul 09 02:27:15 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/Test_filterAndFormatSearchResults_includeOpenGraphNodes","Test_filterAndFormatSearchResults_includeOpenGraphNodes"
"","11","renders the ZoneSelector when available and on a Zone page","TagSelector","Thu Jul 09 02:31:51 UTC 2026","passed","Thu Jul 09 02:31:51 UTC 2026","","","",""
"Test cases for TestManagementResource_ListSAMLProviders","32","TestManagementResource_ListSAMLProviders","","Thu Jul 09 02:28:00 UTC 2026","passed","Thu Jul 09 02:28:00 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_ListSAMLProviders","TestManagementResource_ListSAMLProviders"
"","544","when a search result is clicked it calls `handleNodeSelected`","ExploreSearchCombobox","Thu Jul 09 02:30:29 UTC 2026","passed","Thu Jul 09 02:30:29 UTC 2026","","","",""
"","0","should compute the midpoint of a line segment","bezier","Thu Jul 09 02:34:43 UTC 2026","passed","Thu Jul 09 02:34:43 UTC 2026","","","",""
"Test cases for TestResources_GetAssetGroupSelectorMemberCountsByKind","0","TestResources_GetAssetGroupSelectorMemberCountsByKind","","Thu Jul 09 02:27:15 UTC 2026","passed","Thu Jul 09 02:27:15 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_GetAssetGroupSelectorMemberCountsByKind","TestResources_GetAssetGroupSelectorMemberCountsByKind"
"","57","stores the state of a search term without modifying the query params","useCypherSearch","Thu Jul 09 02:33:18 UTC 2026","passed","Thu Jul 09 02:33:18 UTC 2026","","","",""
"Test cases for TestSignRequestTeeFailure","0","TestSignRequestTeeFailure","","Thu Jul 09 02:27:04 UTC 2026","passed","Thu Jul 09 02:27:04 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestSignRequestTeeFailure","TestSignRequestTeeFailure"
"","0","takes setSearchParams and availableParams returns a function","searchParams","Thu Jul 09 02:32:11 UTC 2026","passed","Thu Jul 09 02:32:11 UTC 2026","","setParamsFactory","",""
"Test cases for TestHasSequence","0","TestHasSequence","","Thu Jul 09 02:27:44 UTC 2026","passed","Thu Jul 09 02:27:44 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/bomenc/TestHasSequence","TestHasSequence"
"","1488","enables the user actions menu when the user is admin role","Users","Thu Jul 09 02:29:52 UTC 2026","passed","Thu Jul 09 02:29:53 UTC 2026","","","",""
"Test cases for TestCreateRuntimeDependenciesInitializesDefaultFileServices","3","TestCreateRuntimeDependenciesInitializesDefaultFileServices","","Thu Jul 09 02:27:23 UTC 2026","passed","Thu Jul 09 02:27:23 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/services/TestCreateRuntimeDependenciesInitializesDefaultFileServices","TestCreateRuntimeDependenciesInitializesDefaultFileServices"
"","5018","should clear state when logout action is dispatched","redux store","Thu Jul 09 02:34:51 UTC 2026","passed","Thu Jul 09 02:34:56 UTC 2026","","","",""
"","20","when user has a disallowed role for a route with disallowed roles, they see the disallowed notification.","AuthenticatedRoute","Thu Jul 09 02:34:42 UTC 2026","passed","Thu Jul 09 02:34:42 UTC 2026","","","",""
"","1112","should call onSubmit with password when reset password button clicked","PasswordResetForm","Thu Jul 09 02:31:08 UTC 2026","passed","Thu Jul 09 02:31:09 UTC 2026","","","",""
"Test cases for Test_TopLevel","0","Test_TopLevel","","Thu Jul 09 02:28:01 UTC 2026","passed","Thu Jul 09 02:28:01 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/schemagen/csgen/Test_TopLevel","Test_TopLevel"
