"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2675","resets skip to 0 when rows per page changes so rows are visible on the new page size","FileIngestTable","Fri Jun 05 19:50:30 UTC 2026","passed","Fri Jun 05 19:50:32 UTC 2026","","pagination reset","",""
"Test cases for TestDeduplicateKinds","0","TestDeduplicateKinds","","Fri Jun 05 19:48:31 UTC 2026","passed","Fri Jun 05 19:48:31 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/services/graphify/TestDeduplicateKinds","TestDeduplicateKinds"
"","421","renders the Import Query Dialog","ImportQueryDialog","Fri Jun 05 19:54:53 UTC 2026","passed","Fri Jun 05 19:54:53 UTC 2026","","","",""
"","253","shows a loading state","AssetGroupMenuItem","Fri Jun 05 19:51:34 UTC 2026","passed","Fri Jun 05 19:51:34 UTC 2026","","","",""
"Test cases for TestNewAuditLog_BadAuthContext","0","TestNewAuditLog_BadAuthContext","","Fri Jun 05 19:48:25 UTC 2026","passed","Fri Jun 05 19:48:25 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/TestNewAuditLog_BadAuthContext","TestNewAuditLog_BadAuthContext"
"","250","displays loading state","GraphDataCheckboxes","Fri Jun 05 19:50:42 UTC 2026","passed","Fri Jun 05 19:50:42 UTC 2026","","","",""
"","265","should display ""Close"" button","UserTokenManagementDialog","Fri Jun 05 19:51:15 UTC 2026","passed","Fri Jun 05 19:51:16 UTC 2026","","","",""
"","64","returns true when nodes are available","useGraphHasData","Fri Jun 05 19:54:26 UTC 2026","passed","Fri Jun 05 19:54:26 UTC 2026","","","",""
"Test cases for TestUnmarshalNonIntegerNumberToInt64","0","TestUnmarshalNonIntegerNumberToInt64","","Fri Jun 05 19:48:26 UTC 2026","passed","Fri Jun 05 19:48:26 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestUnmarshalNonIntegerNumberToInt64","TestUnmarshalNonIntegerNumberToInt64"
"Test cases for TestWriteErrorResponse_InvalidFormat","0","TestWriteErrorResponse_InvalidFormat","","Fri Jun 05 19:48:11 UTC 2026","passed","Fri Jun 05 19:48:11 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestWriteErrorResponse_InvalidFormat","TestWriteErrorResponse_InvalidFormat"
"Test cases for TestReadDomainIDandNameAsString","1","TestReadDomainIDandNameAsString","","Fri Jun 05 19:48:40 UTC 2026","passed","Fri Jun 05 19:48:40 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/analysis/ad/internal/nodeprops/TestReadDomainIDandNameAsString","TestReadDomainIDandNameAsString"
"","542","should close the dialog when the Cancel button is clicked","Privilege Zones History Filter Dialog","Fri Jun 05 19:52:09 UTC 2026","passed","Fri Jun 05 19:52:10 UTC 2026","","","",""
"","1","should compute offset vertices for bezier curves at a given intersection","bezier","Fri Jun 05 19:55:54 UTC 2026","passed","Fri Jun 05 19:55:54 UTC 2026","","","",""
"Test cases for TestParseSkipQueryParameter","0","TestParseSkipQueryParameter","","Fri Jun 05 19:48:23 UTC 2026","passed","Fri Jun 05 19:48:23 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestParseSkipQueryParameter","TestParseSkipQueryParameter"
"Test cases for TestResources_ShareSavedQueriesPermissions_Admin","1","TestResources_ShareSavedQueriesPermissions_Admin","","Fri Jun 05 19:48:23 UTC 2026","passed","Fri Jun 05 19:48:23 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ShareSavedQueriesPermissions_Admin","TestResources_ShareSavedQueriesPermissions_Admin"
"","408","renders total rules and accordion sections","RulesAccordion","Fri Jun 05 19:52:49 UTC 2026","passed","Fri Jun 05 19:52:49 UTC 2026","","","",""
"","2077","reverts to the default unselected state when the user de-selects the currently selected graph layout","GraphView","Fri Jun 05 19:55:38 UTC 2026","passed","Fri Jun 05 19:55:40 UTC 2026","","Layout selection and de-selection","",""
"","154","renders a single item when items is an object","<DetailsAccordion />","Fri Jun 05 19:51:23 UTC 2026","passed","Fri Jun 05 19:51:23 UTC 2026","","","",""
"","269","validates that the name input is under the max length","Tag Form","Fri Jun 05 19:49:19 UTC 2026","passed","Fri Jun 05 19:49:20 UTC 2026","","","",""
"Test cases for TestRewriter_Enter_CombinedAzureAndADShortcut_ConcatenatesKinds","0","TestRewriter_Enter_CombinedAzureAndADShortcut_ConcatenatesKinds","","Fri Jun 05 19:48:29 UTC 2026","passed","Fri Jun 05 19:48:29 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/queries/TestRewriter_Enter_CombinedAzureAndADShortcut_ConcatenatesKinds","TestRewriter_Enter_CombinedAzureAndADShortcut_ConcatenatesKinds"
"","14","should not render when data is present","NoDataDialog","Fri Jun 05 19:54:59 UTC 2026","passed","Fri Jun 05 19:54:59 UTC 2026","","","",""
"","393","should disable Cancel and Save buttons while isLoading is true","CreateUserDialog","Fri Jun 05 19:50:18 UTC 2026","passed","Fri Jun 05 19:50:18 UTC 2026","","","",""
"","24","renders an error fallback when flag is not found","FeatureFlag","Fri Jun 05 19:53:54 UTC 2026","passed","Fri Jun 05 19:53:54 UTC 2026","","","",""
"Test cases for TestResources_UpdateAssetGroup","0","TestResources_UpdateAssetGroup","","Fri Jun 05 19:48:23 UTC 2026","passed","Fri Jun 05 19:48:23 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_UpdateAssetGroup","TestResources_UpdateAssetGroup"
"","80","should navigate to the correct page on alt + digit keydown","Keyboard shortcuts","Fri Jun 05 19:51:58 UTC 2026","passed","Fri Jun 05 19:51:58 UTC 2026","","","",""
"","415","clicking a delete button calls deleteHandler","PrebuiltSearchList","Fri Jun 05 19:52:42 UTC 2026","passed","Fri Jun 05 19:52:43 UTC 2026","","","",""
"Test cases for TestTextUnmarshalBool","0","TestTextUnmarshalBool","","Fri Jun 05 19:48:26 UTC 2026","passed","Fri Jun 05 19:48:26 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestTextUnmarshalBool","TestTextUnmarshalBool"
"Test cases for TestResources_GetGroupEntityInfo","0","TestResources_GetGroupEntityInfo","","Fri Jun 05 19:48:23 UTC 2026","passed","Fri Jun 05 19:48:23 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_GetGroupEntityInfo","TestResources_GetGroupEntityInfo"
"","3","stores a string value in localStorage","useLocalStorage","Fri Jun 05 19:51:58 UTC 2026","passed","Fri Jun 05 19:51:58 UTC 2026","","setValue","",""
"","3","determines glyphs with the tier_managent_engine feature flag disabled","getNodeGlyphs","Fri Jun 05 19:55:52 UTC 2026","passed","Fri Jun 05 19:55:52 UTC 2026","","","",""
"Test cases for Test_filterAndFormatSearchResults_filterEnvironmentsOG","0","Test_filterAndFormatSearchResults_filterEnvironmentsOG","","Fri Jun 05 19:48:23 UTC 2026","passed","Fri Jun 05 19:48:23 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/Test_filterAndFormatSearchResults_filterEnvironmentsOG","Test_filterAndFormatSearchResults_filterEnvironmentsOG"
"Test cases for TestSavedQueries_IsString","0","TestSavedQueries_IsString","","Fri Jun 05 19:48:27 UTC 2026","passed","Fri Jun 05 19:48:27 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/model/TestSavedQueries_IsString","TestSavedQueries_IsString"
"Test cases for TestResources_ListADDomainInboundTrusts","0","TestResources_ListADDomainInboundTrusts","","Fri Jun 05 19:48:23 UTC 2026","passed","Fri Jun 05 19:48:23 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListADDomainInboundTrusts","TestResources_ListADDomainInboundTrusts"
"Test cases for TestBuildErrorResponseInternalServerError","0","TestBuildErrorResponseInternalServerError","","Fri Jun 05 19:48:11 UTC 2026","passed","Fri Jun 05 19:48:11 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestBuildErrorResponseInternalServerError","TestBuildErrorResponseInternalServerError"
"","53","renders the title","ProcessingIndicator","Fri Jun 05 19:55:04 UTC 2026","passed","Fri Jun 05 19:55:04 UTC 2026","","","",""
"Test cases for TestRequireAllEnvironmentAccessMiddleware","1","TestRequireAllEnvironmentAccessMiddleware","","Fri Jun 05 19:48:17 UTC 2026","passed","Fri Jun 05 19:48:17 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/middleware/TestRequireAllEnvironmentAccessMiddleware","TestRequireAllEnvironmentAccessMiddleware"
"Test cases for TestNormalizeEinNodeProperties","0","TestNormalizeEinNodeProperties","","Fri Jun 05 19:48:31 UTC 2026","passed","Fri Jun 05 19:48:31 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/services/graphify/TestNormalizeEinNodeProperties","TestNormalizeEinNodeProperties"
"","924","shows indeterminate states when some graph data is selected","GraphDataCheckboxes","Fri Jun 05 19:50:43 UTC 2026","passed","Fri Jun 05 19:50:44 UTC 2026","","","",""
"","3","stores a number value in localStorage","useLocalStorage","Fri Jun 05 19:51:58 UTC 2026","passed","Fri Jun 05 19:51:58 UTC 2026","","setValue","",""
"","170","should display ""Disable Multi-Factor Authentication"" button","Enable2FADialog","Fri Jun 05 19:53:29 UTC 2026","passed","Fri Jun 05 19:53:29 UTC 2026","","","",""
"Test cases for TestHandleDatabaseErrorNotFound","0","TestHandleDatabaseErrorNotFound","","Fri Jun 05 19:48:11 UTC 2026","passed","Fri Jun 05 19:48:11 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestHandleDatabaseErrorNotFound","TestHandleDatabaseErrorNotFound"
"Test cases for TestResources_ListADDomainContainedOUs","0","TestResources_ListADDomainContainedOUs","","Fri Jun 05 19:48:23 UTC 2026","passed","Fri Jun 05 19:48:23 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListADDomainContainedOUs","TestResources_ListADDomainContainedOUs"
