"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","174","shows ""API Expiration Date"" column header when expiration is enabled","UserTokenManagementDialog - API Expiration Date column","Tue Jul 14 19:15:04 UTC 2026","passed","Tue Jul 14 19:15:05 UTC 2026","","","",""
"Test cases for TestManagementResource_ListAuthProviders","0","TestManagementResource_ListAuthProviders","","Tue Jul 14 19:12:40 UTC 2026","passed","Tue Jul 14 19:12:40 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_ListAuthProviders","TestManagementResource_ListAuthProviders"
"","657","should display all available roles","UpdateUserDialog","Tue Jul 14 19:14:21 UTC 2026","passed","Tue Jul 14 19:14:21 UTC 2026","","","",""
"Test cases for TestCreateRuntimeDependenciesInitializesDefaultFileServices","6","TestCreateRuntimeDependenciesInitializesDefaultFileServices","","Tue Jul 14 19:12:06 UTC 2026","passed","Tue Jul 14 19:12:06 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/services/TestCreateRuntimeDependenciesInitializesDefaultFileServices","TestCreateRuntimeDependenciesInitializesDefaultFileServices"
"Test cases for TestStore_List","32","TestStore_List","","Tue Jul 14 19:12:47 UTC 2026","passed","Tue Jul 14 19:12:47 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/storage/TestStore_List","TestStore_List"
"","142","if a hint is given, it show date placeholder on focus, restores hint on blur","ManagedDatePicker - placeholders","Tue Jul 14 19:16:14 UTC 2026","passed","Tue Jul 14 19:16:14 UTC 2026","","","",""
"","8","hides the item when only the permission passes","useSubNavRoutes","Tue Jul 14 19:16:02 UTC 2026","passed","Tue Jul 14 19:16:02 UTC 2026","","combined gates","",""
"Test cases for TestInvalidValueError","0","TestInvalidValueError","","Tue Jul 14 19:12:28 UTC 2026","passed","Tue Jul 14 19:12:28 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/cache/TestInvalidValueError","TestInvalidValueError"
"Test cases for TestResources_SearchHandler","0","TestResources_SearchHandler","","Tue Jul 14 19:11:54 UTC 2026","passed","Tue Jul 14 19:11:54 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_SearchHandler","TestResources_SearchHandler"
"Test cases for Test_filterAndFormatSearchResults_filterEnvironmentsEmpty","0","Test_filterAndFormatSearchResults_filterEnvironmentsEmpty","","Tue Jul 14 19:11:53 UTC 2026","passed","Tue Jul 14 19:11:53 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/Test_filterAndFormatSearchResults_filterEnvironmentsEmpty","Test_filterAndFormatSearchResults_filterEnvironmentsEmpty"
"","0","uses the correct entity name in the Object ID message","getErrorMessage","Tue Jul 14 19:14:43 UTC 2026","passed","Tue Jul 14 19:14:43 UTC 2026","","","",""
"","7","does not render when selector data is not defined","Delete Selector Button rendering","Tue Jul 14 19:18:23 UTC 2026","passed","Tue Jul 14 19:18:23 UTC 2026","","","",""
"Test cases for TestService_GetRelationship","1","TestService_GetRelationship","","Tue Jul 14 19:12:54 UTC 2026","passed","Tue Jul 14 19:12:54 UTC 2026","","Go Test","github.com/specterops/bloodhound/server/graphdb/internal/services/TestService_GetRelationship","TestService_GetRelationship"
