"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test cases for TestEnsureServerDirectoriesCreatesRequiredDirectories","1","TestEnsureServerDirectoriesCreatesRequiredDirectories","","2026-09-12","passed","2026-09-12","","Go Test","github.com/specterops/bloodhound/cmd/api/src/bootstrap/TestEnsureServerDirectoriesCreatesRequiredDirectories","TestEnsureServerDirectoriesCreatesRequiredDirectories"
"Test cases for TestLoggingMiddleware_QueryParameters","0","TestLoggingMiddleware_QueryParameters","","2026-09-12","passed","2026-09-12","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/middleware/TestLoggingMiddleware_QueryParameters","TestLoggingMiddleware_QueryParameters"
"","60","returns a list of the users current permissions","usePermissions","2026-09-12","passed","2026-09-12","","","",""
"","19","sets autoDisplayTable to false if query returns no results","useExploreTableAutoDisplay","2026-09-12","passed","2026-09-12","","","",""
"Test cases for TestResources_GetIssuancePolicyEntityInfo","185","TestResources_GetIssuancePolicyEntityInfo","","2026-09-12","passed","2026-09-12","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_GetIssuancePolicyEntityInfo","TestResources_GetIssuancePolicyEntityInfo"
"Test cases for TestTracker_HasEdge_PropertyChangeDetectedAsDeletion","0","TestTracker_HasEdge_PropertyChangeDetectedAsDeletion","","2026-09-12","passed","2026-09-12","","Go Test","github.com/specterops/bloodhound/packages/go/analysis/post/TestTracker_HasEdge_PropertyChangeDetectedAsDeletion","TestTracker_HasEdge_PropertyChangeDetectedAsDeletion"
"","665","calls delete mutation when confirm button is clicked with correct input","ActiveExtensionsCard","2026-09-12","passed","2026-09-12","","","",""
"Test cases for Test_FixtureTeardown","0","Test_FixtureTeardown","","2026-09-12","passed","2026-09-12","","Go Test","github.com/specterops/bloodhound/packages/go/lab/Test_FixtureTeardown","Test_FixtureTeardown"
"Test cases for TestKeyEncoder_Key_VaryingInputs","0","TestKeyEncoder_Key_VaryingInputs","","2026-09-12","passed","2026-09-12","","Go Test","github.com/specterops/bloodhound/packages/go/analysis/post/TestKeyEncoder_Key_VaryingInputs","TestKeyEncoder_Key_VaryingInputs"
"Test cases for TestStore_GetNode","2","TestStore_GetNode","","2026-09-12","passed","2026-09-12","","Go Test","github.com/specterops/bloodhound/server/graphdb/internal/appdb/TestStore_GetNode","TestStore_GetNode"
