"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","returns all environments when no filters are active","filterAndSearchEnvironments","Fri Apr 24 02:08:37 UTC 2026","passed","Fri Apr 24 02:08:37 UTC 2026","","with no filters applied","",""
"Test cases for TestGenerateQRCodeBase64","23","TestGenerateQRCodeBase64","","Fri Apr 24 02:08:12 UTC 2026","passed","Fri Apr 24 02:08:12 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/auth/TestGenerateQRCodeBase64","TestGenerateQRCodeBase64"
"Test cases for TestUnmarshalInt64","0","TestUnmarshalInt64","","Fri Apr 24 02:08:13 UTC 2026","passed","Fri Apr 24 02:08:13 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestUnmarshalInt64","TestUnmarshalInt64"
"Test cases for TestUnmarshalString","0","TestUnmarshalString","","Fri Apr 24 02:08:13 UTC 2026","passed","Fri Apr 24 02:08:13 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestUnmarshalString","TestUnmarshalString"
"Test cases for TestSIDSuffix_String","0","TestSIDSuffix_String","","Fri Apr 24 02:08:36 UTC 2026","passed","Fri Apr 24 02:08:36 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/analysis/ad/wellknown/TestSIDSuffix_String","TestSIDSuffix_String"
"","3","matches all AD edges","Make sure pathfinding filterable edges match schemagen","Fri Apr 24 02:12:52 UTC 2026","passed","Fri Apr 24 02:12:52 UTC 2026","","","",""
"Test cases for TestParseSkipQueryParameter_Invalid","0","TestParseSkipQueryParameter_Invalid","","Fri Apr 24 02:08:11 UTC 2026","passed","Fri Apr 24 02:08:11 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestParseSkipQueryParameter_Invalid","TestParseSkipQueryParameter_Invalid"
"Test cases for TestGetScheme","0","TestGetScheme","","Fri Apr 24 02:08:05 UTC 2026","passed","Fri Apr 24 02:08:05 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/middleware/TestGetScheme","TestGetScheme"
"","51","uses the discardQueryParams prop to discard all query params on the link","AppLink","Fri Apr 24 02:11:20 UTC 2026","passed","Fri Apr 24 02:11:20 UTC 2026","","","",""
"Test cases for TestBoolScan","0","TestBoolScan","","Fri Apr 24 02:08:13 UTC 2026","passed","Fri Apr 24 02:08:13 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestBoolScan","TestBoolScan"
"","265","The reset password and two-factor authentication options should not appear in profile page if the user is configured for SAML login","UserProfile with SSO User","Fri Apr 24 02:10:14 UTC 2026","passed","Fri Apr 24 02:10:14 UTC 2026","","","",""
"Test cases for Test_AuthMiddleware","0","Test_AuthMiddleware","","Fri Apr 24 02:08:05 UTC 2026","passed","Fri Apr 24 02:08:05 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/middleware/Test_AuthMiddleware","Test_AuthMiddleware"
"","3303","expand all button expands all sections after collapsing","Pathfinding","Fri Apr 24 02:09:17 UTC 2026","passed","Fri Apr 24 02:09:21 UTC 2026","","","",""
"","0","combines collected and risk filters","filterAndSearchEnvironments","Fri Apr 24 02:08:37 UTC 2026","passed","Fri Apr 24 02:08:37 UTC 2026","","combined filters","",""
"","269","should render","Rule Object Select","Fri Apr 24 02:11:36 UTC 2026","passed","Fri Apr 24 02:11:36 UTC 2026","","","",""
"","366","renders a snackbar notification in the dom and tests autoHideDuration","AppNotifications","Fri Apr 24 02:11:44 UTC 2026","passed","Fri Apr 24 02:11:44 UTC 2026","","","",""
"","100","returns Tag Object counts when there is a Tag selected but no Rule selected (ruleId is undefined from path params)","useObjectCounts","Fri Apr 24 02:12:28 UTC 2026","passed","Fri Apr 24 02:12:28 UTC 2026","","","",""
"","40","clears selected if same note is clicked again","NoteCell component","Fri Apr 24 02:11:41 UTC 2026","passed","Fri Apr 24 02:11:41 UTC 2026","","","",""
"","141","opens the dialog when the button is clicked","SchemaUploadDialog","Fri Apr 24 02:09:33 UTC 2026","passed","Fri Apr 24 02:09:33 UTC 2026","","","",""
