"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","172","should fire Cancel once with false","DeleteConfirmationDialog","Fri Jul 17 02:13:26 UTC 2026","passed","Fri Jul 17 02:13:26 UTC 2026","","","",""
"Test cases for TestResources_GetAZEntityInformation","133","TestResources_GetAZEntityInformation","","Fri Jul 17 02:07:57 UTC 2026","passed","Fri Jul 17 02:07:57 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_GetAZEntityInformation","TestResources_GetAZEntityInformation"
"Test cases for Test_GraphExtensionPayload_ToGraphExtensionInput","8","Test_GraphExtensionPayload_ToGraphExtensionInput","","Fri Jul 17 02:08:03 UTC 2026","passed","Fri Jul 17 02:08:03 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/model/Test_GraphExtensionPayload_ToGraphExtensionInput","Test_GraphExtensionPayload_ToGraphExtensionInput"
"Test cases for TestMarshalInt64","0","TestMarshalInt64","","Fri Jul 17 02:08:03 UTC 2026","passed","Fri Jul 17 02:08:03 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestMarshalInt64","TestMarshalInt64"
"Test cases for TestGetLimitParamForGraphQuery","0","TestGetLimitParamForGraphQuery","","Fri Jul 17 02:08:13 UTC 2026","passed","Fri Jul 17 02:08:13 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/utils/TestGetLimitParamForGraphQuery","TestGetLimitParamForGraphQuery"
"","71","displays the checkbox as checked if the filter params value is 'true'","AssetGroupEdit","Fri Jul 17 02:10:57 UTC 2026","passed","Fri Jul 17 02:10:57 UTC 2026","","Custom Member checkbox filter","",""
"","710","should display Environmental Targeted Access Control panel when showEnvironmentAccessControls prop is true and read-only role is selected","UpdateUserForm","Fri Jul 17 02:09:05 UTC 2026","passed","Fri Jul 17 02:09:06 UTC 2026","","","",""
"","1","handles environment with impactValue at exact threshold boundaries","filterAndSearchEnvironments","Fri Jul 17 02:09:18 UTC 2026","passed","Fri Jul 17 02:09:18 UTC 2026","","edge cases","",""
"","84","should render a button with the passed in display text","GraphButton","Fri Jul 17 02:14:04 UTC 2026","passed","Fri Jul 17 02:14:04 UTC 2026","","","",""
"","98","indicates that filters are active","AssetGroupEdit","Fri Jul 17 02:10:55 UTC 2026","passed","Fri Jul 17 02:10:55 UTC 2026","","","",""
