"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test cases for TestNewAuditLog_Error","0","TestNewAuditLog_Error","","Wed Jun 17 03:30:53 UTC 2026","passed","Wed Jun 17 03:30:53 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/TestNewAuditLog_Error","TestNewAuditLog_Error"
"Test cases for TestTracker_HasEdge_PropertyChangeDetectedAsDeletion","0","TestTracker_HasEdge_PropertyChangeDetectedAsDeletion","","Wed Jun 17 03:30:56 UTC 2026","passed","Wed Jun 17 03:30:56 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/analysis/post/TestTracker_HasEdge_PropertyChangeDetectedAsDeletion","TestTracker_HasEdge_PropertyChangeDetectedAsDeletion"
"","1388","should render","EntityInfoHeader","Wed Jun 17 03:35:41 UTC 2026","passed","Wed Jun 17 03:35:43 UTC 2026","","","",""
"","107","should call onLoginViaSAML when login via sso button clicked","LoginForm","Wed Jun 17 03:36:44 UTC 2026","passed","Wed Jun 17 03:36:44 UTC 2026","","","",""
"Test cases for TestConvertContainerToNode_InheritanceHashes","0","TestConvertContainerToNode_InheritanceHashes","","Wed Jun 17 03:30:56 UTC 2026","passed","Wed Jun 17 03:30:56 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/ein/TestConvertContainerToNode_InheritanceHashes","TestConvertContainerToNode_InheritanceHashes"
"","13","shows date placeholder if no hint is given","ManagedDatePicker - placeholders","Wed Jun 17 03:35:06 UTC 2026","passed","Wed Jun 17 03:35:06 UTC 2026","","","",""
"Test cases for TestRewriter_Enter_CombinedADAndAzureShortcut_PreservesOrder","0","TestRewriter_Enter_CombinedADAndAzureShortcut_PreservesOrder","","Wed Jun 17 03:30:54 UTC 2026","passed","Wed Jun 17 03:30:54 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/queries/TestRewriter_Enter_CombinedADAndAzureShortcut_PreservesOrder","TestRewriter_Enter_CombinedADAndAzureShortcut_PreservesOrder"
"Test cases for TestGetADDataQualityStats_Success","0","TestGetADDataQualityStats_Success","","Wed Jun 17 03:30:50 UTC 2026","passed","Wed Jun 17 03:30:50 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestGetADDataQualityStats_Success","TestGetADDataQualityStats_Success"
"Test cases for TestTextUnmarshalString","0","TestTextUnmarshalString","","Wed Jun 17 03:30:53 UTC 2026","passed","Wed Jun 17 03:30:53 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestTextUnmarshalString","TestTextUnmarshalString"
"Test cases for TestHandleDatabaseError","0","TestHandleDatabaseError","","Wed Jun 17 03:30:48 UTC 2026","passed","Wed Jun 17 03:30:48 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestHandleDatabaseError","TestHandleDatabaseError"
"","10","renders highlight only for active selector when ruleId is present","SelectedHighlight","Wed Jun 17 03:36:30 UTC 2026","passed","Wed Jun 17 03:36:30 UTC 2026","","","",""
"Test cases for TestDatabase_GetAssetGroupTagSelector","0","TestDatabase_GetAssetGroupTagSelector","","Wed Jun 17 03:30:50 UTC 2026","passed","Wed Jun 17 03:30:50 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestDatabase_GetAssetGroupTagSelector","TestDatabase_GetAssetGroupTagSelector"
"","632","does not allow confirmation while dates are invalid","FileIngestFilterDialog","Wed Jun 17 03:33:43 UTC 2026","passed","Wed Jun 17 03:33:43 UTC 2026","","Date Range Inputs","",""
"Test cases for TestResources_GetAssetGroupMemberCount_Success","0","TestResources_GetAssetGroupMemberCount_Success","","Wed Jun 17 03:30:50 UTC 2026","passed","Wed Jun 17 03:30:50 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_GetAssetGroupMemberCount_Success","TestResources_GetAssetGroupMemberCount_Success"
"","5780","does not close explore search tab menu or entity info panel when search returns zero nodes","CypherSearch","Wed Jun 17 03:33:01 UTC 2026","passed","Wed Jun 17 03:33:07 UTC 2026","","Minimize explorer page elements when multiple nodes are returned","",""
"","65","enables correctly returning the tag associated with Tier Zero (position value of 1) from the list of tags","the useAssetGroupTags utilities","Wed Jun 17 03:33:56 UTC 2026","passed","Wed Jun 17 03:33:56 UTC 2026","","","",""
"","816","renders the node in the entity panel when member is clicked","GroupManagement","Wed Jun 17 03:38:19 UTC 2026","passed","Wed Jun 17 03:38:20 UTC 2026","","","",""
"","268","should display ""Create Token"" button","UserTokenManagementDialog","Wed Jun 17 03:33:51 UTC 2026","passed","Wed Jun 17 03:33:51 UTC 2026","","","",""
"","308","navigates to all rules when clicking ""All Rules""","RulesAccordion","Wed Jun 17 03:35:20 UTC 2026","passed","Wed Jun 17 03:35:20 UTC 2026","","","",""
"","1352","open and closes dialog","DatabaseManagement","Wed Jun 17 03:37:54 UTC 2026","passed","Wed Jun 17 03:37:55 UTC 2026","","","",""
"","856","dispatches an action to add the associated node","Rule Object Select","Wed Jun 17 03:36:02 UTC 2026","passed","Wed Jun 17 03:36:03 UTC 2026","","","",""
