"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","filters by moderate risk level","filterAndSearchEnvironments","Tue May 12 02:33:54 UTC 2026","passed","Tue May 12 02:33:54 UTC 2026","","risk filters","",""
"","7","should render when search string at the end of the text","HighlightedText","Tue May 12 02:38:28 UTC 2026","passed","Tue May 12 02:38:28 UTC 2026","","","",""
"Test cases for TestUrlValidator","0","TestUrlValidator","","Tue May 12 02:32:37 UTC 2026","passed","Tue May 12 02:32:37 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/utils/validation/TestUrlValidator","TestUrlValidator"
"","7","should handle special characters","HighlightedText","Tue May 12 02:38:28 UTC 2026","passed","Tue May 12 02:38:28 UTC 2026","","","",""
"","47","composes search params from the search prop and use them in the link","AppLink","Tue May 12 02:37:20 UTC 2026","passed","Tue May 12 02:37:20 UTC 2026","","","",""
"Test cases for TestSetValuesFromEnv","1","TestSetValuesFromEnv","","Tue May 12 02:32:30 UTC 2026","passed","Tue May 12 02:32:30 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/config/TestSetValuesFromEnv","TestSetValuesFromEnv"
"","783","calls the passed in cancel handler when clicking the Cancel button","Glyph Select Dialog","Tue May 12 02:38:52 UTC 2026","passed","Tue May 12 02:38:52 UTC 2026","","","",""
"","28","does not call onSort when disable=true","ColumnHeaders","Tue May 12 02:36:53 UTC 2026","passed","Tue May 12 02:36:53 UTC 2026","","SortableHeader","",""
"","141","Searching for existing node type returns node properties","useFetchEntityInfo","Tue May 12 02:36:43 UTC 2026","passed","Tue May 12 02:36:44 UTC 2026","","","",""
"Test cases for TestOpenGraphSchemaService_GetSchemaFindings","1","TestOpenGraphSchemaService_GetSchemaFindings","","Tue May 12 02:32:35 UTC 2026","passed","Tue May 12 02:32:35 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/services/opengraphschema/TestOpenGraphSchemaService_GetSchemaFindings","TestOpenGraphSchemaService_GetSchemaFindings"
"Test cases for TestNewDefaultConfig","0","TestNewDefaultConfig","","Tue May 12 02:32:30 UTC 2026","passed","Tue May 12 02:32:30 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/config/TestNewDefaultConfig","TestNewDefaultConfig"
"","535","should call onSubmit with one time passcode when check code button clicked","OneTimePasscodeForm","Tue May 12 02:38:23 UTC 2026","passed","Tue May 12 02:38:24 UTC 2026","","","",""
"","741","when an `inputValue` is provided it eventually displays a list of search results","ExploreSearchCombobox","Tue May 12 02:35:47 UTC 2026","passed","Tue May 12 02:35:48 UTC 2026","","","",""
"Test cases for TestOpenGraphSchemaService_ListExtensions","1","TestOpenGraphSchemaService_ListExtensions","","Tue May 12 02:32:35 UTC 2026","passed","Tue May 12 02:32:35 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/services/opengraphschema/TestOpenGraphSchemaService_ListExtensions","TestOpenGraphSchemaService_ListExtensions"
"","780","should allow user to configure 2fa","Enable2FADialog","Tue May 12 02:36:56 UTC 2026","passed","Tue May 12 02:36:56 UTC 2026","","","",""
"","0","maps cypher 504 errors to timeout messaging","useExploreGraph","Tue May 12 02:35:00 UTC 2026","passed","Tue May 12 02:35:00 UTC 2026","","exploreGraphQueryFactory","",""
"","52","should render a Field when the provided value is false","Field","Tue May 12 02:38:43 UTC 2026","passed","Tue May 12 02:38:43 UTC 2026","","","",""
"Test cases for Test_SetApplicationConfiguration","1","Test_SetApplicationConfiguration","","Tue May 12 02:32:29 UTC 2026","passed","Tue May 12 02:32:29 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/Test_SetApplicationConfiguration","Test_SetApplicationConfiguration"
"","109","continue button is disabled when no SSO provider has been selected","LoginViaSSOForm","Tue May 12 02:37:34 UTC 2026","passed","Tue May 12 02:37:34 UTC 2026","","","",""
"Test cases for TestGC_Start","1002","TestGC_Start","","Tue May 12 02:32:31 UTC 2026","passed","Tue May 12 02:32:32 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/daemons/gc/TestGC_Start","TestGC_Start"
"Test cases for TestGetADDataQualityStats_Success","0","TestGetADDataQualityStats_Success","","Tue May 12 02:32:29 UTC 2026","passed","Tue May 12 02:32:29 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestGetADDataQualityStats_Success","TestGetADDataQualityStats_Success"
"","304","opens confirmation dialog when delete button is clicked","ActiveExtensionsCard","Tue May 12 02:34:02 UTC 2026","passed","Tue May 12 02:34:02 UTC 2026","","","",""
"","187","renders the Cypher Rules Panel when clicking the Rule Tab","Selected Details Tab Content","Tue May 12 02:38:26 UTC 2026","passed","Tue May 12 02:38:26 UTC 2026","","","",""
