"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","52","the queries in the list only include nodes and edges that are defined in our schema","common search list","Sat Jul 11 02:12:22 UTC 2026","passed","Sat Jul 11 02:12:23 UTC 2026","","","",""
"","2","stores an array value in localStorage","useLocalStorage","Sat Jul 11 02:09:57 UTC 2026","passed","Sat Jul 11 02:09:57 UTC 2026","","setValue","",""
"Test cases for TestHandlers_CreateRequest","1","TestHandlers_CreateRequest","","Sat Jul 11 02:07:08 UTC 2026","passed","Sat Jul 11 02:07:08 UTC 2026","","Go Test","github.com/specterops/bloodhound/server/analysis/internal/handlers/TestHandlers_CreateRequest","TestHandlers_CreateRequest"
"","95","shows the Automatic Certification label and the zone-level disabled message","BasicInfo","Sat Jul 11 02:10:11 UTC 2026","passed","Sat Jul 11 02:10:11 UTC 2026","","when isCertificationDisabledOnZoneLevel is false","",""
"Test cases for TestManagementResource_UpdateUser_ETAC","3008","TestManagementResource_UpdateUser_ETAC","","Sat Jul 11 02:06:42 UTC 2026","passed","Sat Jul 11 02:06:45 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_UpdateUser_ETAC","TestManagementResource_UpdateUser_ETAC"
"","55","mounts a polite aria-live region","AnnouncementProvider","Sat Jul 11 02:10:36 UTC 2026","passed","Sat Jul 11 02:10:36 UTC 2026","","","",""
"","1807","handles posting a mutation","DatabaseManagement","Sat Jul 11 02:13:21 UTC 2026","passed","Sat Jul 11 02:13:23 UTC 2026","","","",""
"","59","renders a link to the documentation","BloodHoundConfiguration","Sat Jul 11 02:14:05 UTC 2026","passed","Sat Jul 11 02:14:05 UTC 2026","","","",""
"","18","dedupes edges before adding them to the graph","Explore utils","Sat Jul 11 02:13:38 UTC 2026","passed","Sat Jul 11 02:13:38 UTC 2026","","initGraph","",""
"","21","should render when search string at the end of the text","HighlightedText","Sat Jul 11 02:12:02 UTC 2026","passed","Sat Jul 11 02:12:02 UTC 2026","","","",""
